feature_id	gene_id	RAST	psort_loc	psort_loc_score	psort_loc_details	psort_loc_sec
1_1605_gene	GW101-3H11_contig_1_1605	hypothetical protein	CytoplasmicMembrane	8.46		
1_3790_gene	GW101-3H11_contig_1_3790	hypothetical protein	CytoplasmicMembrane	10.00		
1_2001_gene	GW101-3H11_contig_1_2001	hypothetical protein	Cytoplasmic	8.96		
1_1550_gene	GW101-3H11_contig_1_1550	hypothetical protein	CytoplasmicMembrane	10.00		
1_2321_gene	GW101-3H11_contig_1_2321	hypothetical protein	Unknown	2.00		
1_2081_gene	GW101-3H11_contig_1_2081	hypothetical protein	Cytoplasmic	9.26		
1_2388_gene	GW101-3H11_contig_1_2388	hypothetical protein	Unknown	2.50		
1_4451_gene	GW101-3H11_contig_1_4451	hypothetical protein	CytoplasmicMembrane	9.86		
1_3199_gene	GW101-3H11_contig_1_3199	hypothetical protein	Unknown	2.00		
1_3939_gene	GW101-3H11_contig_1_3939	hypothetical protein	Unknown	2.00		
1_4800_gene	GW101-3H11_contig_1_4800	hypothetical protein	CytoplasmicMembrane	10.00		
1_22_gene	GW101-3H11_contig_1_22	hypothetical protein	Unknown	2.50		
1_818_gene	GW101-3H11_contig_1_818	hypothetical protein	Unknown	4.90	(This protein may have multiple localization sites.)	
1_4313_gene	GW101-3H11_contig_1_4313	hypothetical protein	Unknown	2.00		
1_2421_gene	GW101-3H11_contig_1_2421	hypothetical protein	Unknown	2.50		
1_3484_gene	GW101-3H11_contig_1_3484	hypothetical protein	Periplasmic	9.83		
1_2024_gene	GW101-3H11_contig_1_2024	hypothetical protein	Cytoplasmic	9.26		
1_1213_gene	GW101-3H11_contig_1_1213	hypothetical protein	Unknown	2.00		
1_1381_gene	GW101-3H11_contig_1_1381	hypothetical protein	Unknown	2.00		
1_2131_gene	GW101-3H11_contig_1_2131	hypothetical protein	Unknown	2.00		
1_2864_gene	GW101-3H11_contig_1_2864	hypothetical protein	CytoplasmicMembrane	9.82		
1_2754_gene	GW101-3H11_contig_1_2754	hypothetical protein	Cytoplasmic	9.97		
1_1183_gene	GW101-3H11_contig_1_1183	hypothetical protein	Unknown	2.00		
1_1733_gene	GW101-3H11_contig_1_1733	hypothetical protein	Unknown	2.00		
1_2150_gene	GW101-3H11_contig_1_2150	hypothetical protein	Unknown	2.00		
1_561_gene	GW101-3H11_contig_1_561	hypothetical protein	Cytoplasmic	8.96		
1_1784_gene	GW101-3H11_contig_1_1784	hypothetical protein	CytoplasmicMembrane	9.82		
1_2985_gene	GW101-3H11_contig_1_2985	hypothetical protein	Unknown	2.00		
1_2018_gene	GW101-3H11_contig_1_2018	hypothetical protein	Cytoplasmic	9.26		
1_4214_gene	GW101-3H11_contig_1_4214	hypothetical protein	Unknown	2.00		
1_2624_gene	GW101-3H11_contig_1_2624	hypothetical protein	Unknown	2.00		
1_3997_gene	GW101-3H11_contig_1_3997	hypothetical protein	Unknown	2.00		
1_891_gene	GW101-3H11_contig_1_891	hypothetical protein	Cytoplasmic	8.96		
1_1904_gene	GW101-3H11_contig_1_1904	hypothetical protein	Unknown	2.00		
1_2365_gene	GW101-3H11_contig_1_2365	hypothetical protein	Unknown	2.00		
1_1066_gene	GW101-3H11_contig_1_1066	hypothetical protein	Unknown	2.00		
1_2468_gene	GW101-3H11_contig_1_2468	hypothetical protein	Periplasmic	9.22		
1_2045_gene	GW101-3H11_contig_1_2045	hypothetical protein	CytoplasmicMembrane	9.27		
1_1234_gene	GW101-3H11_contig_1_1234	hypothetical protein	Unknown	2.00		
1_1367_gene	GW101-3H11_contig_1_1367	hypothetical protein	Unknown	2.00		
1_2770_gene	GW101-3H11_contig_1_2770	hypothetical protein	Unknown	2.50		
1_1487_gene	GW101-3H11_contig_1_1487	hypothetical protein	Unknown	2.00		
1_3716_gene	GW101-3H11_contig_1_3716	hypothetical protein	Unknown	2.00		
1_3994_gene	GW101-3H11_contig_1_3994	hypothetical protein	Unknown	2.00		
1_3213_gene	GW101-3H11_contig_1_3213	hypothetical protein	Cytoplasmic	8.96		
1_1262_gene	GW101-3H11_contig_1_1262	hypothetical protein	Unknown	2.00		
1_1974_gene	GW101-3H11_contig_1_1974	hypothetical protein	Unknown	2.50		
1_2529_gene	GW101-3H11_contig_1_2529	hypothetical protein	Cytoplasmic	9.97		
1_111_gene	GW101-3H11_contig_1_111	hypothetical protein	Unknown	2.50		
1_366_gene	GW101-3H11_contig_1_366	hypothetical protein	Unknown	2.00		
1_3133_gene	GW101-3H11_contig_1_3133	hypothetical protein	Unknown	2.00		
1_4555_gene	GW101-3H11_contig_1_4555	hypothetical protein	Unknown	4.90	(This protein may have multiple localization sites.)	
1_815_gene	GW101-3H11_contig_1_815	hypothetical protein	Unknown	2.50		
1_2203_gene	GW101-3H11_contig_1_2203	hypothetical protein	Unknown	2.50		
1_3188_gene	GW101-3H11_contig_1_3188	hypothetical protein	Unknown	2.50		
1_1619_gene	GW101-3H11_contig_1_1619	hypothetical protein	CytoplasmicMembrane	9.82		
1_401_gene	GW101-3H11_contig_1_401	hypothetical protein	Unknown	2.00		
1_4213_gene	GW101-3H11_contig_1_4213	hypothetical protein	Unknown	2.00		
1_68_gene	GW101-3H11_contig_1_68	hypothetical protein	Unknown	2.00		
1_2154_gene	GW101-3H11_contig_1_2154	hypothetical protein	Cytoplasmic	8.96		
1_2129_gene	GW101-3H11_contig_1_2129	hypothetical protein	Cytoplasmic	8.96		
1_3490_gene	GW101-3H11_contig_1_3490	hypothetical protein	CytoplasmicMembrane	9.86		
1_1684_gene	GW101-3H11_contig_1_1684	hypothetical protein	Unknown	2.50		
1_1243_gene	GW101-3H11_contig_1_1243	hypothetical protein	Cytoplasmic	8.96		
1_3193_gene	GW101-3H11_contig_1_3193	hypothetical protein	CytoplasmicMembrane	9.82		
1_1579_gene	GW101-3H11_contig_1_1579	hypothetical protein	CytoplasmicMembrane	9.82		
1_2474_gene	GW101-3H11_contig_1_2474	hypothetical protein	CytoplasmicMembrane	10.00		
1_3529_gene	GW101-3H11_contig_1_3529	hypothetical protein	Unknown	2.00		
1_1265_gene	GW101-3H11_contig_1_1265	hypothetical protein	Unknown	2.00		
1_230_gene	GW101-3H11_contig_1_230	hypothetical protein	Unknown	2.00		
1_1911_gene	GW101-3H11_contig_1_1911	hypothetical protein	Unknown	2.00		
1_4380_gene	GW101-3H11_contig_1_4380	hypothetical protein	Unknown	2.00		
1_4589_gene	GW101-3H11_contig_1_4589	hypothetical protein	Unknown	2.00		
1_34_gene	GW101-3H11_contig_1_34	hypothetical protein	CytoplasmicMembrane	10.00		
1_2329_gene	GW101-3H11_contig_1_2329	hypothetical protein	Unknown	2.00		
1_4801_gene	GW101-3H11_contig_1_4801	hypothetical protein	Unknown	2.50		
1_1791_gene	GW101-3H11_contig_1_1791	hypothetical protein	Unknown	2.00		
1_2151_gene	GW101-3H11_contig_1_2151	hypothetical protein	Unknown	2.00		
1_1996_gene	GW101-3H11_contig_1_1996	hypothetical protein	Cytoplasmic	8.96		
1_1659_gene	GW101-3H11_contig_1_1659	hypothetical protein	Unknown	2.50		
1_3400_gene	GW101-3H11_contig_1_3400	hypothetical protein	Unknown	2.00		
1_136_gene	GW101-3H11_contig_1_136	hypothetical protein	Unknown	2.00		
1_1275_gene	GW101-3H11_contig_1_1275	hypothetical protein	Unknown	2.00		
1_1048_gene	GW101-3H11_contig_1_1048	hypothetical protein	Extracellular	9.64		
1_363_gene	GW101-3H11_contig_1_363	hypothetical protein	Unknown	2.00		
1_1933_gene	GW101-3H11_contig_1_1933	hypothetical protein	Unknown	2.00		
1_3218_gene	GW101-3H11_contig_1_3218	hypothetical protein	CytoplasmicMembrane	9.82		
1_4726_gene	GW101-3H11_contig_1_4726	hypothetical protein	Unknown	2.50		
1_2688_gene	GW101-3H11_contig_1_2688	hypothetical protein	Unknown	2.00		
1_594_gene	GW101-3H11_contig_1_594	hypothetical protein	Cytoplasmic	8.96		
1_151_gene	GW101-3H11_contig_1_151	hypothetical protein	CytoplasmicMembrane	10.00		
1_720_gene	GW101-3H11_contig_1_720	hypothetical protein	Unknown	2.00		
1_2128_gene	GW101-3H11_contig_1_2128	hypothetical protein	Unknown	2.00		
1_627_gene	GW101-3H11_contig_1_627	hypothetical protein	Unknown	2.50		
1_2101_gene	GW101-3H11_contig_1_2101	hypothetical protein	Unknown	2.00		
1_3353_gene	GW101-3H11_contig_1_3353	hypothetical protein	Unknown	2.50		
1_125_gene	GW101-3H11_contig_1_125	hypothetical protein	Cytoplasmic	9.26		
1_1683_gene	GW101-3H11_contig_1_1683	hypothetical protein	Unknown	2.50		
1_287_gene	GW101-3H11_contig_1_287	hypothetical protein	Unknown	2.00		
1_2956_gene	GW101-3H11_contig_1_2956	hypothetical protein	Unknown	2.00		
1_96_gene	GW101-3H11_contig_1_96	hypothetical protein	Unknown	2.00		
1_767_gene	GW101-3H11_contig_1_767	hypothetical protein	CytoplasmicMembrane	9.82		
1_808_gene	GW101-3H11_contig_1_808	hypothetical protein	Unknown	2.00		
1_3432_gene	GW101-3H11_contig_1_3432	hypothetical protein	Periplasmic	9.83		
1_3890_gene	GW101-3H11_contig_1_3890	hypothetical protein	Unknown	2.50		
1_1497_gene	GW101-3H11_contig_1_1497	hypothetical protein	Unknown	2.00		
1_1844_gene	GW101-3H11_contig_1_1844	hypothetical protein	Unknown	2.50		
1_1470_gene	GW101-3H11_contig_1_1470	hypothetical protein	Unknown	2.50		
1_2945_gene	GW101-3H11_contig_1_2945	hypothetical protein	Cytoplasmic	8.96		
1_2775_gene	GW101-3H11_contig_1_2775	hypothetical protein	Unknown	2.50		
1_1309_gene	GW101-3H11_contig_1_1309	hypothetical protein	Unknown	2.00		
1_2949_gene	GW101-3H11_contig_1_2949	hypothetical protein	Unknown	2.00		
1_4418_gene	GW101-3H11_contig_1_4418	hypothetical protein	CytoplasmicMembrane	9.86		
1_2396_gene	GW101-3H11_contig_1_2396	hypothetical protein	Unknown	2.00		
1_4465_gene	GW101-3H11_contig_1_4465	hypothetical protein	CytoplasmicMembrane	10.00		
1_2797_gene	GW101-3H11_contig_1_2797	hypothetical protein	Cytoplasmic	8.96		
1_2231_gene	GW101-3H11_contig_1_2231	hypothetical protein	Unknown	2.00		
1_1553_gene	GW101-3H11_contig_1_1553	hypothetical protein	Unknown	2.50		
1_450_gene	GW101-3H11_contig_1_450	hypothetical protein	Cytoplasmic	8.96		
1_24_gene	GW101-3H11_contig_1_24	hypothetical protein	Unknown	2.00		
1_1350_gene	GW101-3H11_contig_1_1350	hypothetical protein	CytoplasmicMembrane	9.82		
1_2760_gene	GW101-3H11_contig_1_2760	hypothetical protein	Unknown	2.50		
1_1239_gene	GW101-3H11_contig_1_1239	hypothetical protein	Cytoplasmic	8.96		
1_2787_gene	GW101-3H11_contig_1_2787	hypothetical protein	Cytoplasmic	8.96		
1_2297_gene	GW101-3H11_contig_1_2297	hypothetical protein	Unknown	2.50		
1_1594_gene	GW101-3H11_contig_1_1594	hypothetical protein	Unknown	2.00		
1_210_gene	GW101-3H11_contig_1_210	hypothetical protein	CytoplasmicMembrane	9.86		
1_2557_gene	GW101-3H11_contig_1_2557	hypothetical protein	Unknown	2.00		
1_4076_gene	GW101-3H11_contig_1_4076	hypothetical protein	CytoplasmicMembrane	9.82		
1_3365_gene	GW101-3H11_contig_1_3365	hypothetical protein	Unknown	2.00		
1_4084_gene	GW101-3H11_contig_1_4084	hypothetical protein	CytoplasmicMembrane	10.00		
1_4009_gene	GW101-3H11_contig_1_4009	hypothetical protein	Cytoplasmic	8.96		
1_1362_gene	GW101-3H11_contig_1_1362	hypothetical protein	Unknown	2.00		
1_1197_gene	GW101-3H11_contig_1_1197	hypothetical protein	Cytoplasmic	8.96		
1_4436_gene	GW101-3H11_contig_1_4436	hypothetical protein	Unknown	2.50		
1_1458_gene	GW101-3H11_contig_1_1458	hypothetical protein	Unknown	2.00		
1_3191_gene	GW101-3H11_contig_1_3191	hypothetical protein	Extracellular	9.64		
1_4570_gene	GW101-3H11_contig_1_4570	hypothetical protein	Unknown	2.50		
1_40_gene	GW101-3H11_contig_1_40	hypothetical protein	Unknown	2.00		
1_608_gene	GW101-3H11_contig_1_608	hypothetical protein	Periplasmic	9.84		
1_812_gene	GW101-3H11_contig_1_812	hypothetical protein	Unknown	2.50		
1_1041_gene	GW101-3H11_contig_1_1041	hypothetical protein	Unknown	2.50		
1_4928_gene	GW101-3H11_contig_1_4928	hypothetical protein	CytoplasmicMembrane	9.82		
1_1242_gene	GW101-3H11_contig_1_1242	hypothetical protein	Unknown	2.00		
1_3142_gene	GW101-3H11_contig_1_3142	hypothetical protein	Unknown	2.50		
1_712_gene	GW101-3H11_contig_1_712	hypothetical protein	Extracellular	9.64		
1_4028_gene	GW101-3H11_contig_1_4028	hypothetical protein	Unknown	2.50		
1_4652_gene	GW101-3H11_contig_1_4652	hypothetical protein	CytoplasmicMembrane	10.00		
1_21_gene	GW101-3H11_contig_1_21	hypothetical protein	Unknown	2.00		
1_2572_gene	GW101-3H11_contig_1_2572	hypothetical protein	CytoplasmicMembrane	9.82		
1_226_gene	GW101-3H11_contig_1_226	hypothetical protein	Cytoplasmic	8.96		
1_1223_gene	GW101-3H11_contig_1_1223	hypothetical protein	Unknown	2.00		
1_1211_gene	GW101-3H11_contig_1_1211	hypothetical protein	Unknown	2.00		
1_1494_gene	GW101-3H11_contig_1_1494	hypothetical protein	Unknown	2.00		
1_1201_gene	GW101-3H11_contig_1_1201	hypothetical protein	Unknown	2.00		
1_2293_gene	GW101-3H11_contig_1_2293	hypothetical protein	Unknown	2.00		
1_3690_gene	GW101-3H11_contig_1_3690	hypothetical protein	Unknown	2.50		
1_145_gene	GW101-3H11_contig_1_145	hypothetical protein	Cytoplasmic	8.96		
1_2944_gene	GW101-3H11_contig_1_2944	hypothetical protein	Unknown	2.00		
1_3946_gene	GW101-3H11_contig_1_3946	hypothetical protein	Unknown	2.50		
1_4634_gene	GW101-3H11_contig_1_4634	hypothetical protein	CytoplasmicMembrane	10.00		
1_1260_gene	GW101-3H11_contig_1_1260	hypothetical protein	CytoplasmicMembrane	10.00		
1_2144_gene	GW101-3H11_contig_1_2144	hypothetical protein	Unknown	2.00		
1_2094_gene	GW101-3H11_contig_1_2094	hypothetical protein	Cytoplasmic	8.96		
1_3824_gene	GW101-3H11_contig_1_3824	hypothetical protein	Periplasmic	9.84		
1_1788_gene	GW101-3H11_contig_1_1788	hypothetical protein	Unknown	2.50		
1_1218_gene	GW101-3H11_contig_1_1218	hypothetical protein	Unknown	2.00		
1_15_gene	GW101-3H11_contig_1_15	hypothetical protein	Unknown	2.50		
1_657_gene	GW101-3H11_contig_1_657	hypothetical protein	Unknown	2.00		
1_2059_gene	GW101-3H11_contig_1_2059	hypothetical protein	Unknown	2.00		
1_2000_gene	GW101-3H11_contig_1_2000	hypothetical protein	Unknown	2.00		
1_4140_gene	GW101-3H11_contig_1_4140	hypothetical protein	Unknown	2.50		
1_4406_gene	GW101-3H11_contig_1_4406	hypothetical protein	CytoplasmicMembrane	10.00		
1_4708_gene	GW101-3H11_contig_1_4708	hypothetical protein	Unknown	2.00		
1_2915_gene	GW101-3H11_contig_1_2915	hypothetical protein	CytoplasmicMembrane	9.82		
1_2618_gene	GW101-3H11_contig_1_2618	hypothetical protein	Unknown	2.50		
1_4871_gene	GW101-3H11_contig_1_4871	hypothetical protein	CytoplasmicMembrane	9.82		
1_1603_gene	GW101-3H11_contig_1_1603	hypothetical protein	Unknown	2.00		
1_1210_gene	GW101-3H11_contig_1_1210	hypothetical protein	Unknown	2.00		
1_1395_gene	GW101-3H11_contig_1_1395	hypothetical protein	Unknown	2.50		
1_3394_gene	GW101-3H11_contig_1_3394	hypothetical protein	Cytoplasmic	8.96		
1_1419_gene	GW101-3H11_contig_1_1419	hypothetical protein	CytoplasmicMembrane	10.00		
1_1236_gene	GW101-3H11_contig_1_1236	hypothetical protein	Unknown	2.00		
1_4018_gene	GW101-3H11_contig_1_4018	hypothetical protein	Unknown	2.50		
1_2010_gene	GW101-3H11_contig_1_2010	hypothetical protein	Cytoplasmic	9.97		
1_213_gene	GW101-3H11_contig_1_213	hypothetical protein	CytoplasmicMembrane	9.82		
1_2472_gene	GW101-3H11_contig_1_2472	hypothetical protein	Unknown	2.00		
1_2145_gene	GW101-3H11_contig_1_2145	hypothetical protein	Unknown	2.00		
1_1007_gene	GW101-3H11_contig_1_1007	hypothetical protein	Unknown	2.50		
1_634_gene	GW101-3H11_contig_1_634	hypothetical protein	Unknown	2.50		
1_4153_gene	GW101-3H11_contig_1_4153	hypothetical protein	Unknown	2.00		
1_1188_gene	GW101-3H11_contig_1_1188	hypothetical protein	Unknown	2.00		
1_2003_gene	GW101-3H11_contig_1_2003	hypothetical protein	Unknown	2.00		
1_1626_gene	GW101-3H11_contig_1_1626	hypothetical protein	Unknown	2.50		
1_3433_gene	GW101-3H11_contig_1_3433	hypothetical protein	CytoplasmicMembrane	10.00		
1_1901_gene	GW101-3H11_contig_1_1901	hypothetical protein	CytoplasmicMembrane	9.82		
1_1224_gene	GW101-3H11_contig_1_1224	hypothetical protein	Unknown	2.00		
1_2135_gene	GW101-3H11_contig_1_2135	hypothetical protein	Unknown	2.00		
1_2376_gene	GW101-3H11_contig_1_2376	hypothetical protein	CytoplasmicMembrane	9.82		
1_2882_gene	GW101-3H11_contig_1_2882	hypothetical protein	Unknown	2.50		
1_3708_gene	GW101-3H11_contig_1_3708	hypothetical protein	Cytoplasmic	9.97		
1_258_gene	GW101-3H11_contig_1_258	hypothetical protein	Extracellular	9.64		
1_4836_gene	GW101-3H11_contig_1_4836	hypothetical protein	CytoplasmicMembrane	9.86		
1_3398_gene	GW101-3H11_contig_1_3398	hypothetical protein	Unknown	2.00		
1_3709_gene	GW101-3H11_contig_1_3709	hypothetical protein	Unknown	2.00		
1_2490_gene	GW101-3H11_contig_1_2490	hypothetical protein	CytoplasmicMembrane	7.88		
1_1235_gene	GW101-3H11_contig_1_1235	hypothetical protein	Unknown	2.00		
1_2756_gene	GW101-3H11_contig_1_2756	hypothetical protein	Unknown	2.00		
1_4898_gene	GW101-3H11_contig_1_4898	hypothetical protein	Periplasmic	9.84		
1_826_gene	GW101-3H11_contig_1_826	hypothetical protein	Cytoplasmic	9.26		
1_1186_gene	GW101-3H11_contig_1_1186	hypothetical protein	Unknown	2.00		
1_253_gene	GW101-3H11_contig_1_253	hypothetical protein	Cytoplasmic	8.96		
1_1477_gene	GW101-3H11_contig_1_1477	hypothetical protein	Cytoplasmic	8.96		
1_795_gene	GW101-3H11_contig_1_795	hypothetical protein	Unknown	2.00		
1_2486_gene	GW101-3H11_contig_1_2486	hypothetical protein	Unknown	2.00		
1_2182_gene	GW101-3H11_contig_1_2182	hypothetical protein	CytoplasmicMembrane	10.00		
1_2616_gene	GW101-3H11_contig_1_2616	hypothetical protein	Cytoplasmic	9.97		
1_3446_gene	GW101-3H11_contig_1_3446	hypothetical protein	Unknown	2.00		
1_180_gene	GW101-3H11_contig_1_180	hypothetical protein	CytoplasmicMembrane	9.86		
1_1475_gene	GW101-3H11_contig_1_1475	hypothetical protein	Unknown	2.00		
1_3833_gene	GW101-3H11_contig_1_3833	hypothetical protein	Unknown	2.00		
1_3139_gene	GW101-3H11_contig_1_3139	hypothetical protein	Unknown	2.00		
1_3623_gene	GW101-3H11_contig_1_3623	hypothetical protein	Unknown	2.00		
1_1481_gene	GW101-3H11_contig_1_1481	hypothetical protein	Unknown	2.00		
1_1896_gene	GW101-3H11_contig_1_1896	hypothetical protein	Unknown	2.00		
1_1511_gene	GW101-3H11_contig_1_1511	hypothetical protein	Unknown	2.00		
1_1410_gene	GW101-3H11_contig_1_1410	hypothetical protein	CytoplasmicMembrane	10.00		
1_761_gene	GW101-3H11_contig_1_761	hypothetical protein	Unknown	2.00		
1_1270_gene	GW101-3H11_contig_1_1270	hypothetical protein	Unknown	2.00		
1_4846_gene	GW101-3H11_contig_1_4846	hypothetical protein	Unknown	2.00		
1_2064_gene	GW101-3H11_contig_1_2064	hypothetical protein	Cytoplasmic	8.96		
1_3309_gene	GW101-3H11_contig_1_3309	hypothetical protein	Unknown	2.50		
1_2801_gene	GW101-3H11_contig_1_2801	hypothetical protein	Unknown	2.00		
1_961_gene	GW101-3H11_contig_1_961	hypothetical protein	Unknown	2.00		
1_1238_gene	GW101-3H11_contig_1_1238	hypothetical protein	Unknown	4.90	(This protein may have multiple localization sites.)	
1_2954_gene	GW101-3H11_contig_1_2954	hypothetical protein	Unknown	2.00		
1_617_gene	GW101-3H11_contig_1_617	hypothetical protein	Unknown	2.00		
1_1464_gene	GW101-3H11_contig_1_1464	hypothetical protein	Unknown	2.00		
1_639_gene	GW101-3H11_contig_1_639	hypothetical protein	Unknown	2.50		
1_3771_gene	GW101-3H11_contig_1_3771	hypothetical protein	Unknown	2.50		
1_4292_gene	GW101-3H11_contig_1_4292	hypothetical protein	CytoplasmicMembrane	9.82		
1_4875_gene	GW101-3H11_contig_1_4875	hypothetical protein	Unknown	2.00		
1_3683_gene	GW101-3H11_contig_1_3683	hypothetical protein	Unknown	2.50		
1_2604_gene	GW101-3H11_contig_1_2604	hypothetical protein	Unknown	2.50		
1_2736_gene	GW101-3H11_contig_1_2736	hypothetical protein	Unknown	2.00		
1_4019_gene	GW101-3H11_contig_1_4019	hypothetical protein	Unknown	2.50		
1_1340_gene	GW101-3H11_contig_1_1340	hypothetical protein	Cytoplasmic	9.97		
1_1220_gene	GW101-3H11_contig_1_1220	hypothetical protein	Unknown	2.00		
1_1231_gene	GW101-3H11_contig_1_1231	hypothetical protein	CytoplasmicMembrane	9.46		
