feature_id	gene_id	RAST	psort_loc	psort_loc_score	psort_loc_details	psort_loc_sec
1_1721_gene	FW510-R12_contig_1_1721	hypothetical protein	Unknown	2.00		
2_148_gene	FW510-R12_contig_2_148	hypothetical protein	Unknown	2.00		
2_72_gene	FW510-R12_contig_2_72	hypothetical protein	Extracellular	9.64		
1_286_gene	FW510-R12_contig_1_286	hypothetical protein	CytoplasmicMembrane	9.82		
1_1737_gene	FW510-R12_contig_1_1737	hypothetical protein	Unknown	2.00		
1_2861_gene	FW510-R12_contig_1_2861	hypothetical protein	Periplasmic	9.84		
1_629_gene	FW510-R12_contig_1_629	hypothetical protein	Unknown	2.50		
2_163_gene	FW510-R12_contig_2_163	hypothetical protein	Cytoplasmic	8.96		
1_245_gene	FW510-R12_contig_1_245	hypothetical protein	Cytoplasmic	8.96		
1_3438_gene	FW510-R12_contig_1_3438	hypothetical protein	CytoplasmicMembrane	10.00		
1_3135_gene	FW510-R12_contig_1_3135	hypothetical protein	Unknown	2.00		
1_3420_gene	FW510-R12_contig_1_3420	hypothetical protein	Extracellular	9.65		
1_2993_gene	FW510-R12_contig_1_2993	hypothetical protein	Unknown	2.50		
1_380_gene	FW510-R12_contig_1_380	hypothetical protein	Unknown	2.00		
1_1966_gene	FW510-R12_contig_1_1966	hypothetical protein	CytoplasmicMembrane	10.00		
1_666_gene	FW510-R12_contig_1_666	hypothetical protein	Unknown	4.90	(This protein may have multiple localization sites.)	
1_3312_gene	FW510-R12_contig_1_3312	hypothetical protein	Unknown	2.00		
1_2198_gene	FW510-R12_contig_1_2198	hypothetical protein	Unknown	2.00		
1_418_gene	FW510-R12_contig_1_418	hypothetical protein	Unknown	2.00		
1_3267_gene	FW510-R12_contig_1_3267	hypothetical protein	Unknown	2.00		
1_2332_gene	FW510-R12_contig_1_2332	hypothetical protein	Unknown	2.00		
1_2164_gene	FW510-R12_contig_1_2164	hypothetical protein	CytoplasmicMembrane	9.82		
2_208_gene	FW510-R12_contig_2_208	hypothetical protein	Cytoplasmic	8.96		
1_2171_gene	FW510-R12_contig_1_2171	hypothetical protein	Cytoplasmic	8.96		
1_3017_gene	FW510-R12_contig_1_3017	hypothetical protein	Unknown	2.00		
1_242_gene	FW510-R12_contig_1_242	hypothetical protein	Unknown	2.00		
1_1899_gene	FW510-R12_contig_1_1899	hypothetical protein	Unknown	2.50		
1_2532_gene	FW510-R12_contig_1_2532	hypothetical protein	Unknown	2.50		
2_22_gene	FW510-R12_contig_2_22	hypothetical protein	CytoplasmicMembrane	9.82		
1_2925_gene	FW510-R12_contig_1_2925	hypothetical protein	Unknown	2.50		
1_2578_gene	FW510-R12_contig_1_2578	hypothetical protein	Unknown	2.00		
1_198_gene	FW510-R12_contig_1_198	hypothetical protein	Unknown	2.00		
1_2134_gene	FW510-R12_contig_1_2134	hypothetical protein	Cytoplasmic	8.96		
1_301_gene	FW510-R12_contig_1_301	hypothetical protein	Unknown	2.50		
1_2699_gene	FW510-R12_contig_1_2699	hypothetical protein	Unknown	2.50		
2_61_gene	FW510-R12_contig_2_61	hypothetical protein	Unknown	2.00		
1_1973_gene	FW510-R12_contig_1_1973	hypothetical protein	Unknown	2.00		
2_102_gene	FW510-R12_contig_2_102	hypothetical protein	CytoplasmicMembrane	9.86		
1_2316_gene	FW510-R12_contig_1_2316	hypothetical protein	Cytoplasmic	8.96		
1_2939_gene	FW510-R12_contig_1_2939	hypothetical protein	Unknown	2.00		
1_3019_gene	FW510-R12_contig_1_3019	hypothetical protein	Unknown	2.00		
1_147_gene	FW510-R12_contig_1_147	hypothetical protein	Unknown	2.50		
1_2820_gene	FW510-R12_contig_1_2820	hypothetical protein	CytoplasmicMembrane	9.82		
2_150_gene	FW510-R12_contig_2_150	hypothetical protein	Unknown	2.00		
2_175_gene	FW510-R12_contig_2_175	hypothetical protein	CytoplasmicMembrane	10.00		
1_501_gene	FW510-R12_contig_1_501	hypothetical protein	CytoplasmicMembrane	10.00		
1_402_gene	FW510-R12_contig_1_402	hypothetical protein	Unknown	2.00		
1_529_gene	FW510-R12_contig_1_529	hypothetical protein	Unknown	2.00		
2_121_gene	FW510-R12_contig_2_121	hypothetical protein	Cytoplasmic	8.96		
1_3232_gene	FW510-R12_contig_1_3232	hypothetical protein	Unknown	2.00		
1_972_gene	FW510-R12_contig_1_972	hypothetical protein	Unknown	2.50		
1_2700_gene	FW510-R12_contig_1_2700	hypothetical protein	CytoplasmicMembrane	9.86		
2_41_gene	FW510-R12_contig_2_41	hypothetical protein	Unknown	2.00		
1_2833_gene	FW510-R12_contig_1_2833	hypothetical protein	Unknown	2.50		
1_818_gene	FW510-R12_contig_1_818	hypothetical protein	Unknown	2.00		
1_3406_gene	FW510-R12_contig_1_3406	hypothetical protein	Cytoplasmic	8.96		
1_2213_gene	FW510-R12_contig_1_2213	hypothetical protein	Unknown	2.00		
2_135_gene	FW510-R12_contig_2_135	hypothetical protein	Unknown	2.00		
1_660_gene	FW510-R12_contig_1_660	hypothetical protein	CytoplasmicMembrane	10.00		
1_1747_gene	FW510-R12_contig_1_1747	hypothetical protein	Unknown	2.50		
2_211_gene	FW510-R12_contig_2_211	hypothetical protein	CytoplasmicMembrane	9.86		
1_2997_gene	FW510-R12_contig_1_2997	hypothetical protein	Unknown	2.50		
1_417_gene	FW510-R12_contig_1_417	hypothetical protein	CytoplasmicMembrane	10.00		
1_498_gene	FW510-R12_contig_1_498	hypothetical protein	Unknown	2.00		
1_2857_gene	FW510-R12_contig_1_2857	hypothetical protein	Cytoplasmic	8.96		
1_3541_gene	FW510-R12_contig_1_3541	hypothetical protein	Cytoplasmic	8.96		
1_3538_gene	FW510-R12_contig_1_3538	hypothetical protein	Unknown	2.00		
1_802_gene	FW510-R12_contig_1_802	hypothetical protein	Cytoplasmic	8.96		
2_210_gene	FW510-R12_contig_2_210	hypothetical protein	Unknown	2.00		
1_3363_gene	FW510-R12_contig_1_3363	hypothetical protein	Unknown	2.50		
1_2131_gene	FW510-R12_contig_1_2131	hypothetical protein	Cytoplasmic	8.96		
1_207_gene	FW510-R12_contig_1_207	hypothetical protein	Unknown	2.00		
1_1381_gene	FW510-R12_contig_1_1381	hypothetical protein	Unknown	2.00		
2_202_gene	FW510-R12_contig_2_202	hypothetical protein	Unknown	2.00		
1_521_gene	FW510-R12_contig_1_521	hypothetical protein	Unknown	2.00		
1_1316_gene	FW510-R12_contig_1_1316	hypothetical protein	Unknown	2.00		
2_19_gene	FW510-R12_contig_2_19	hypothetical protein	Cytoplasmic	8.96		
1_844_gene	FW510-R12_contig_1_844	hypothetical protein	CytoplasmicMembrane	10.00		
1_2192_gene	FW510-R12_contig_1_2192	hypothetical protein	Unknown	2.50		
1_2150_gene	FW510-R12_contig_1_2150	hypothetical protein	CytoplasmicMembrane	9.86		
2_154_gene	FW510-R12_contig_2_154	hypothetical protein	Periplasmic	9.76		
1_49_gene	FW510-R12_contig_1_49	hypothetical protein	Unknown	2.50		
1_2274_gene	FW510-R12_contig_1_2274	hypothetical protein	CytoplasmicMembrane	9.86		
1_834_gene	FW510-R12_contig_1_834	hypothetical protein	Unknown	2.50		
2_124_gene	FW510-R12_contig_2_124	hypothetical protein	Cytoplasmic	8.96		
1_1784_gene	FW510-R12_contig_1_1784	hypothetical protein	CytoplasmicMembrane	9.86		
1_1892_gene	FW510-R12_contig_1_1892	hypothetical protein	Unknown	2.00		
1_2523_gene	FW510-R12_contig_1_2523	hypothetical protein	Unknown	2.00		
1_2046_gene	FW510-R12_contig_1_2046	hypothetical protein	Unknown	2.00		
1_2579_gene	FW510-R12_contig_1_2579	hypothetical protein	Cytoplasmic	8.96		
1_2365_gene	FW510-R12_contig_1_2365	hypothetical protein	Unknown	2.00		
1_1978_gene	FW510-R12_contig_1_1978	hypothetical protein	Unknown	2.00		
1_2189_gene	FW510-R12_contig_1_2189	hypothetical protein	CytoplasmicMembrane	10.00		
1_3479_gene	FW510-R12_contig_1_3479	hypothetical protein	Unknown	2.00		
1_2045_gene	FW510-R12_contig_1_2045	hypothetical protein	Cytoplasmic	8.96		
1_2455_gene	FW510-R12_contig_1_2455	hypothetical protein	Unknown	2.50		
1_1939_gene	FW510-R12_contig_1_1939	hypothetical protein	Unknown	2.50		
1_2611_gene	FW510-R12_contig_1_2611	hypothetical protein	Unknown	2.00		
2_170_gene	FW510-R12_contig_2_170	hypothetical protein	Unknown	2.00		
2_36_gene	FW510-R12_contig_2_36	hypothetical protein	Unknown	2.00		
2_174_gene	FW510-R12_contig_2_174	hypothetical protein	Unknown	2.00		
1_2893_gene	FW510-R12_contig_1_2893	hypothetical protein	Unknown	2.00		
1_1234_gene	FW510-R12_contig_1_1234	hypothetical protein	Unknown	2.00		
1_175_gene	FW510-R12_contig_1_175	hypothetical protein	Unknown	2.50		
1_3449_gene	FW510-R12_contig_1_3449	hypothetical protein	Unknown	2.50		
1_2529_gene	FW510-R12_contig_1_2529	hypothetical protein	Unknown	2.50		
1_2745_gene	FW510-R12_contig_1_2745	hypothetical protein	Unknown	2.00		
2_66_gene	FW510-R12_contig_2_66	hypothetical protein	Cytoplasmic	8.96		
1_212_gene	FW510-R12_contig_1_212	hypothetical protein	Cytoplasmic	8.96		
2_144_gene	FW510-R12_contig_2_144	hypothetical protein	CytoplasmicMembrane	10.00		
2_29_gene	FW510-R12_contig_2_29	hypothetical protein	Cytoplasmic	8.96		
1_2174_gene	FW510-R12_contig_1_2174	hypothetical protein	CytoplasmicMembrane	9.86		
2_162_gene	FW510-R12_contig_2_162	hypothetical protein	Cytoplasmic	8.96		
1_2154_gene	FW510-R12_contig_1_2154	hypothetical protein	Unknown	2.50		
1_2129_gene	FW510-R12_contig_1_2129	hypothetical protein	CytoplasmicMembrane	9.82		
1_1823_gene	FW510-R12_contig_1_1823	hypothetical protein	Unknown	2.50		
1_87_gene	FW510-R12_contig_1_87	hypothetical protein	Unknown	2.00		
1_1617_gene	FW510-R12_contig_1_1617	hypothetical protein	Cytoplasmic	8.96		
1_1858_gene	FW510-R12_contig_1_1858	hypothetical protein	CytoplasmicMembrane	10.00		
1_3529_gene	FW510-R12_contig_1_3529	hypothetical protein	Unknown	2.00		
1_2514_gene	FW510-R12_contig_1_2514	hypothetical protein	Unknown	2.00		
1_3014_gene	FW510-R12_contig_1_3014	hypothetical protein	Cytoplasmic	8.96		
1_2524_gene	FW510-R12_contig_1_2524	hypothetical protein	Cytoplasmic	8.96		
2_157_gene	FW510-R12_contig_2_157	hypothetical protein	CytoplasmicMembrane	9.27		
2_161_gene	FW510-R12_contig_2_161	hypothetical protein	Unknown	4.90	(This protein may have multiple localization sites.)	
1_1180_gene	FW510-R12_contig_1_1180	hypothetical protein	Unknown	2.00		
2_73_gene	FW510-R12_contig_2_73	hypothetical protein	Cytoplasmic	8.96		
1_2696_gene	FW510-R12_contig_1_2696	hypothetical protein	CytoplasmicMembrane	9.82		
1_1636_gene	FW510-R12_contig_1_1636	hypothetical protein	Unknown	2.00		
1_519_gene	FW510-R12_contig_1_519	hypothetical protein	CytoplasmicMembrane	9.82		
1_1996_gene	FW510-R12_contig_1_1996	hypothetical protein	Unknown	2.00		
1_3002_gene	FW510-R12_contig_1_3002	hypothetical protein	CytoplasmicMembrane	9.82		
1_3012_gene	FW510-R12_contig_1_3012	hypothetical protein	CytoplasmicMembrane	9.82		
1_3400_gene	FW510-R12_contig_1_3400	hypothetical protein	Unknown	2.50		
1_246_gene	FW510-R12_contig_1_246	hypothetical protein	Unknown	2.00		
1_2938_gene	FW510-R12_contig_1_2938	hypothetical protein	Unknown	2.00		
1_3455_gene	FW510-R12_contig_1_3455	hypothetical protein	Unknown	2.50		
2_18_gene	FW510-R12_contig_2_18	hypothetical protein	Cytoplasmic	8.96		
1_1583_gene	FW510-R12_contig_1_1583	hypothetical protein	Unknown	2.00		
1_1154_gene	FW510-R12_contig_1_1154	hypothetical protein	Unknown	2.00		
1_1397_gene	FW510-R12_contig_1_1397	hypothetical protein	CytoplasmicMembrane	10.00		
1_439_gene	FW510-R12_contig_1_439	hypothetical protein	Unknown	2.00		
1_2028_gene	FW510-R12_contig_1_2028	hypothetical protein	CytoplasmicMembrane	9.86		
1_2036_gene	FW510-R12_contig_1_2036	hypothetical protein	Cytoplasmic	8.96		
1_3269_gene	FW510-R12_contig_1_3269	hypothetical protein	Unknown	2.50		
1_2591_gene	FW510-R12_contig_1_2591	hypothetical protein	Unknown	2.00		
1_2393_gene	FW510-R12_contig_1_2393	hypothetical protein	Cytoplasmic	8.96		
1_2590_gene	FW510-R12_contig_1_2590	hypothetical protein	Unknown	2.00		
1_287_gene	FW510-R12_contig_1_287	hypothetical protein	CytoplasmicMembrane	10.00		
1_828_gene	FW510-R12_contig_1_828	hypothetical protein	Unknown	2.50		
1_429_gene	FW510-R12_contig_1_429	hypothetical protein	Unknown	2.00		
1_567_gene	FW510-R12_contig_1_567	hypothetical protein	OuterMembrane	9.52		
1_23_gene	FW510-R12_contig_1_23	hypothetical protein	CytoplasmicMembrane	10.00		
2_173_gene	FW510-R12_contig_2_173	hypothetical protein	Unknown	2.50		
2_51_gene	FW510-R12_contig_2_51	hypothetical protein	Cytoplasmic	8.96		
2_188_gene	FW510-R12_contig_2_188	hypothetical protein	Cytoplasmic	8.96		
1_3434_gene	FW510-R12_contig_1_3434	hypothetical protein	Cytoplasmic	8.96		
1_58_gene	FW510-R12_contig_1_58	hypothetical protein	Unknown	6.49	(This protein may have multiple localization sites.)	
1_870_gene	FW510-R12_contig_1_870	hypothetical protein	Unknown	2.00		
1_1989_gene	FW510-R12_contig_1_1989	hypothetical protein	Unknown	2.50		
1_1821_gene	FW510-R12_contig_1_1821	hypothetical protein	CytoplasmicMembrane	10.00		
1_2664_gene	FW510-R12_contig_1_2664	hypothetical protein	Unknown	2.00		
1_645_gene	FW510-R12_contig_1_645	hypothetical protein	Unknown	2.00		
1_464_gene	FW510-R12_contig_1_464	hypothetical protein	Unknown	2.00		
1_2760_gene	FW510-R12_contig_1_2760	hypothetical protein	Unknown	2.50		
1_2787_gene	FW510-R12_contig_1_2787	hypothetical protein	CytoplasmicMembrane	9.82		
1_2297_gene	FW510-R12_contig_1_2297	hypothetical protein	Unknown	2.00		
1_2399_gene	FW510-R12_contig_1_2399	hypothetical protein	Cytoplasmic	8.96		
1_1594_gene	FW510-R12_contig_1_1594	hypothetical protein	Periplasmic	9.23		
1_472_gene	FW510-R12_contig_1_472	hypothetical protein	CytoplasmicMembrane	9.86		
1_1452_gene	FW510-R12_contig_1_1452	hypothetical protein	Unknown	2.50		
1_210_gene	FW510-R12_contig_1_210	hypothetical protein	Cytoplasmic	8.96		
1_2557_gene	FW510-R12_contig_1_2557	hypothetical protein	Unknown	2.50		
1_196_gene	FW510-R12_contig_1_196	hypothetical protein	Unknown	2.50		
1_2387_gene	FW510-R12_contig_1_2387	hypothetical protein	Unknown	2.50		
1_2211_gene	FW510-R12_contig_1_2211	hypothetical protein	Unknown	2.50		
1_3365_gene	FW510-R12_contig_1_3365	hypothetical protein	Unknown	2.00		
2_145_gene	FW510-R12_contig_2_145	hypothetical protein	Unknown	2.50		
1_536_gene	FW510-R12_contig_1_536	hypothetical protein	Unknown	2.00		
1_1116_gene	FW510-R12_contig_1_1116	hypothetical protein	Unknown	2.50		
1_2065_gene	FW510-R12_contig_1_2065	hypothetical protein	Unknown	2.50		
1_407_gene	FW510-R12_contig_1_407	hypothetical protein	Unknown	2.00		
1_956_gene	FW510-R12_contig_1_956	hypothetical protein	CytoplasmicMembrane	9.27		
1_3130_gene	FW510-R12_contig_1_3130	hypothetical protein	Unknown	2.00		
1_1197_gene	FW510-R12_contig_1_1197	hypothetical protein	CytoplasmicMembrane	10.00		
1_794_gene	FW510-R12_contig_1_794	hypothetical protein	CytoplasmicMembrane	9.86		
1_1796_gene	FW510-R12_contig_1_1796	hypothetical protein	CytoplasmicMembrane	10.00		
1_2449_gene	FW510-R12_contig_1_2449	hypothetical protein	Unknown	2.50		
1_712_gene	FW510-R12_contig_1_712	hypothetical protein	Unknown	2.00		
1_2271_gene	FW510-R12_contig_1_2271	hypothetical protein	Cytoplasmic	8.96		
1_414_gene	FW510-R12_contig_1_414	hypothetical protein	Unknown	2.00		
1_3119_gene	FW510-R12_contig_1_3119	hypothetical protein	Unknown	2.00		
1_21_gene	FW510-R12_contig_1_21	hypothetical protein	CytoplasmicMembrane	9.86		
1_1705_gene	FW510-R12_contig_1_1705	hypothetical protein	Unknown	2.00		
2_118_gene	FW510-R12_contig_2_118	hypothetical protein	Cytoplasmic	8.96		
1_2509_gene	FW510-R12_contig_1_2509	hypothetical protein	CytoplasmicMembrane	9.82		
1_226_gene	FW510-R12_contig_1_226	hypothetical protein	CytoplasmicMembrane	10.00		
1_2293_gene	FW510-R12_contig_1_2293	hypothetical protein	Unknown	2.00		
1_2144_gene	FW510-R12_contig_1_2144	hypothetical protein	Periplasmic	9.84		
1_312_gene	FW510-R12_contig_1_312	hypothetical protein	Unknown	2.50		
1_2860_gene	FW510-R12_contig_1_2860	hypothetical protein	Unknown	2.00		
1_2178_gene	FW510-R12_contig_1_2178	hypothetical protein	Unknown	2.00		
1_1308_gene	FW510-R12_contig_1_1308	hypothetical protein	CytoplasmicMembrane	10.00		
2_125_gene	FW510-R12_contig_2_125	hypothetical protein	Cytoplasmic	8.96		
2_190_gene	FW510-R12_contig_2_190	hypothetical protein	Unknown	2.50		
1_2062_gene	FW510-R12_contig_1_2062	hypothetical protein	Unknown	2.00		
1_2187_gene	FW510-R12_contig_1_2187	hypothetical protein	Unknown	2.00		
2_32_gene	FW510-R12_contig_2_32	hypothetical protein	Cytoplasmic	9.97		
1_2783_gene	FW510-R12_contig_1_2783	hypothetical protein	Unknown	2.00		
2_57_gene	FW510-R12_contig_2_57	hypothetical protein	Unknown	7.33	(This protein may have multiple localization sites.)	
1_1055_gene	FW510-R12_contig_1_1055	hypothetical protein	Cytoplasmic	8.96		
1_2435_gene	FW510-R12_contig_1_2435	hypothetical protein	Unknown	2.00		
1_3057_gene	FW510-R12_contig_1_3057	hypothetical protein	CytoplasmicMembrane	10.00		
1_3480_gene	FW510-R12_contig_1_3480	hypothetical protein	CytoplasmicMembrane	9.82		
1_644_gene	FW510-R12_contig_1_644	hypothetical protein	Cytoplasmic	8.96		
1_2166_gene	FW510-R12_contig_1_2166	hypothetical protein	Extracellular	9.65		
1_427_gene	FW510-R12_contig_1_427	hypothetical protein	Unknown	2.00		
1_333_gene	FW510-R12_contig_1_333	hypothetical protein	Unknown	2.00		
1_884_gene	FW510-R12_contig_1_884	hypothetical protein	Cytoplasmic	8.96		
1_3096_gene	FW510-R12_contig_1_3096	hypothetical protein	Unknown	2.00		
1_841_gene	FW510-R12_contig_1_841	hypothetical protein	Unknown	2.00		
1_261_gene	FW510-R12_contig_1_261	hypothetical protein	CytoplasmicMembrane	9.82		
1_1822_gene	FW510-R12_contig_1_1822	hypothetical protein	CytoplasmicMembrane	10.00		
1_2753_gene	FW510-R12_contig_1_2753	hypothetical protein	CytoplasmicMembrane	9.82		
1_1537_gene	FW510-R12_contig_1_1537	hypothetical protein	Periplasmic	8.40		
2_10_gene	FW510-R12_contig_2_10	hypothetical protein	Cytoplasmic	8.96		
1_940_gene	FW510-R12_contig_1_940	hypothetical protein	Unknown	2.00		
1_2031_gene	FW510-R12_contig_1_2031	hypothetical protein	Unknown	2.50		
1_1546_gene	FW510-R12_contig_1_1546	hypothetical protein	Unknown	2.00		
1_1589_gene	FW510-R12_contig_1_1589	hypothetical protein	Unknown	2.50		
2_133_gene	FW510-R12_contig_2_133	hypothetical protein	Periplasmic	9.83		
2_140_gene	FW510-R12_contig_2_140	hypothetical protein	Periplasmic	9.76		
2_182_gene	FW510-R12_contig_2_182	hypothetical protein	Unknown	2.00		
1_523_gene	FW510-R12_contig_1_523	hypothetical protein	Unknown	2.50		
1_217_gene	FW510-R12_contig_1_217	hypothetical protein	Cytoplasmic	8.96		
1_1665_gene	FW510-R12_contig_1_1665	hypothetical protein	Unknown	2.00		
1_2145_gene	FW510-R12_contig_1_2145	hypothetical protein	Unknown	2.50		
1_1711_gene	FW510-R12_contig_1_1711	hypothetical protein	Unknown	2.00		
1_1188_gene	FW510-R12_contig_1_1188	hypothetical protein	Unknown	2.00		
2_206_gene	FW510-R12_contig_2_206	hypothetical protein	Unknown	2.00		
1_2003_gene	FW510-R12_contig_1_2003	hypothetical protein	Unknown	2.00		
2_115_gene	FW510-R12_contig_2_115	hypothetical protein	Cytoplasmic	8.96		
1_2190_gene	FW510-R12_contig_1_2190	hypothetical protein	Cytoplasmic	8.96		
1_2442_gene	FW510-R12_contig_1_2442	hypothetical protein	Unknown	2.00		
1_1959_gene	FW510-R12_contig_1_1959	hypothetical protein	Unknown	2.00		
1_3115_gene	FW510-R12_contig_1_3115	hypothetical protein	Unknown	2.00		
1_266_gene	FW510-R12_contig_1_266	hypothetical protein	Unknown	2.00		
1_3340_gene	FW510-R12_contig_1_3340	hypothetical protein	Cytoplasmic	8.96		
1_1346_gene	FW510-R12_contig_1_1346	hypothetical protein	Unknown	2.00		
2_62_gene	FW510-R12_contig_2_62	hypothetical protein	Cytoplasmic	8.96		
1_2073_gene	FW510-R12_contig_1_2073	hypothetical protein	CytoplasmicMembrane	9.82		
1_341_gene	FW510-R12_contig_1_341	hypothetical protein	CytoplasmicMembrane	10.00		
1_191_gene	FW510-R12_contig_1_191	hypothetical protein	Unknown	2.00		
1_1067_gene	FW510-R12_contig_1_1067	hypothetical protein	Unknown	2.50		
1_1508_gene	FW510-R12_contig_1_1508	hypothetical protein	Unknown	2.50		
1_1060_gene	FW510-R12_contig_1_1060	hypothetical protein	CytoplasmicMembrane	9.86		
1_1602_gene	FW510-R12_contig_1_1602	hypothetical protein	Unknown	2.00		
1_2290_gene	FW510-R12_contig_1_2290	hypothetical protein	Cytoplasmic	8.96		
1_1577_gene	FW510-R12_contig_1_1577	hypothetical protein	Unknown	2.50		
1_272_gene	FW510-R12_contig_1_272	hypothetical protein	CytoplasmicMembrane	9.86		
1_273_gene	FW510-R12_contig_1_273	hypothetical protein	CytoplasmicMembrane	9.82		
2_31_gene	FW510-R12_contig_2_31	hypothetical protein	Unknown	2.50		
1_1247_gene	FW510-R12_contig_1_1247	hypothetical protein	Cytoplasmic	8.96		
1_795_gene	FW510-R12_contig_1_795	hypothetical protein	CytoplasmicMembrane	9.82		
1_687_gene	FW510-R12_contig_1_687	hypothetical protein	CytoplasmicMembrane	9.86		
1_106_gene	FW510-R12_contig_1_106	hypothetical protein	Unknown	2.00		
1_2616_gene	FW510-R12_contig_1_2616	hypothetical protein	Cytoplasmic	8.96		
1_2212_gene	FW510-R12_contig_1_2212	hypothetical protein	Unknown	2.00		
2_158_gene	FW510-R12_contig_2_158	hypothetical protein	Unknown	2.00		
1_1118_gene	FW510-R12_contig_1_1118	hypothetical protein	Cytoplasmic	9.97		
2_30_gene	FW510-R12_contig_2_30	hypothetical protein	CytoplasmicMembrane	10.00		
2_166_gene	FW510-R12_contig_2_166	hypothetical protein	Cytoplasmic	8.96		
1_2841_gene	FW510-R12_contig_1_2841	hypothetical protein	Unknown	2.50		
1_3276_gene	FW510-R12_contig_1_3276	hypothetical protein	Extracellular	9.65		
1_1093_gene	FW510-R12_contig_1_1093	hypothetical protein	Unknown	2.00		
1_2790_gene	FW510-R12_contig_1_2790	hypothetical protein	Unknown	2.50		
2_117_gene	FW510-R12_contig_2_117	hypothetical protein	Unknown	2.00		
1_307_gene	FW510-R12_contig_1_307	hypothetical protein	Unknown	2.00		
2_50_gene	FW510-R12_contig_2_50	hypothetical protein	Periplasmic	9.51		
1_3309_gene	FW510-R12_contig_1_3309	hypothetical protein	Unknown	2.00		
1_2133_gene	FW510-R12_contig_1_2133	hypothetical protein	Unknown	2.00		
1_2801_gene	FW510-R12_contig_1_2801	hypothetical protein	Unknown	2.50		
1_1851_gene	FW510-R12_contig_1_1851	hypothetical protein	Unknown	2.00		
1_1612_gene	FW510-R12_contig_1_1612	hypothetical protein	Periplasmic	9.76		
1_2163_gene	FW510-R12_contig_1_2163	hypothetical protein	CytoplasmicMembrane	10.00		
1_2462_gene	FW510-R12_contig_1_2462	hypothetical protein	Unknown	2.00		
1_2048_gene	FW510-R12_contig_1_2048	hypothetical protein	CytoplasmicMembrane	9.82		
1_1556_gene	FW510-R12_contig_1_1556	hypothetical protein	Unknown	2.00		
1_2845_gene	FW510-R12_contig_1_2845	hypothetical protein	Unknown	2.00		
1_1513_gene	FW510-R12_contig_1_1513	hypothetical protein	Unknown	2.50		
1_596_gene	FW510-R12_contig_1_596	hypothetical protein	CytoplasmicMembrane	9.82		
1_3332_gene	FW510-R12_contig_1_3332	hypothetical protein	Cytoplasmic	8.96		
1_2525_gene	FW510-R12_contig_1_2525	hypothetical protein	Unknown	2.00		
1_2033_gene	FW510-R12_contig_1_2033	hypothetical protein	Unknown	2.50		
1_1534_gene	FW510-R12_contig_1_1534	hypothetical protein	CytoplasmicMembrane	9.16		
1_869_gene	FW510-R12_contig_1_869	hypothetical protein	Unknown	2.00		
1_2604_gene	FW510-R12_contig_1_2604	hypothetical protein	Unknown	2.00		
2_142_gene	FW510-R12_contig_2_142	hypothetical protein	Unknown	2.00		
1_1220_gene	FW510-R12_contig_1_1220	hypothetical protein	CytoplasmicMembrane	10.00		
1_1920_gene	FW510-R12_contig_1_1920	hypothetical protein	Unknown	2.00		
