,gene,enzyme KO,superpathway,pathway,subpathway,enzyme,superpathway KO,pathway KO,subpathway KO,3H11-T42,3H11-T53,SynCom-T42,SynCom-T53,SynCom-T71,SynCom-T95
246,GW101-3H11_contig_1_216,K02584,Brite Hierarchies,Protein families: genetic information processing,Transcription factors,nifA; Nif-specific regulatory,ko09180,ko09182,ko03000,-0.1937347347054661,2.1610524688771355,-0.7911639838793887,-0.08802572122981873,-0.3615553866159588,-0.7265726424464983
247,GW101-3H11_contig_1_216,K12146,Brite Hierarchies,Protein families: genetic information processing,Transcription factors,hyfR; hydrogenase-4 transcriptional,ko09180,ko09182,ko03000,-0.1937347347054661,2.1610524688771355,-0.7911639838793887,-0.08802572122981873,-0.3615553866159588,-0.7265726424464983
248,GW101-3H11_contig_1_216,K12266,Brite Hierarchies,Protein families: genetic information processing,Transcription factors,norR; anaerobic nitric oxide reductase transcription,ko09180,ko09182,ko03000,-0.1937347347054661,2.1610524688771355,-0.7911639838793887,-0.08802572122981873,-0.3615553866159588,-0.7265726424464983
265,GW101-3H11_contig_1_235,K04075,Brite Hierarchies,Protein families: genetic information processing,Transfer RNA biogenesis,"tilS, mesJ; tRNA(Ile)-lysidine synthase",ko09180,ko09182,ko03016,0.3389129051410137,-1.9816649832747513,0.4534619960994545,-0.3502867561652637,0.2982669864055598,1.24130985179399
266,GW101-3H11_contig_1_235,K14058,Brite Hierarchies,Protein families: genetic information processing,Transfer RNA biogenesis,ttcA; tRNA 2-thiocytidine biosynthesis protein,ko09180,ko09182,ko03016,0.3389129051410137,-1.9816649832747513,0.4534619960994545,-0.3502867561652637,0.2982669864055598,1.24130985179399
414,GW101-3H11_contig_1_328,K01775,Metabolism,Metabolism of other amino acids,D-Amino acid metabolism,alr; alanine racemase,ko09100,ko09106,ko00470,0.5790757275292429,1.766955504414682,-1.2550605964516544,-0.3057616960864295,0.13918293724861736,-0.9243918766544569
415,GW101-3H11_contig_1_328,K01775,Human Diseases,Drug resistance: antimicrobial,Vancomycin resistance,alr; alanine racemase,ko09160,ko09175,ko01502,0.5790757275292429,1.766955504414682,-1.2550605964516544,-0.3057616960864295,0.13918293724861736,-0.9243918766544569
416,GW101-3H11_contig_1_328,K01775,Brite Hierarchies,Protein families: metabolism,Peptidoglycan biosynthesis and degradation proteins,alr; alanine racemase,ko09180,ko09181,ko01011,0.5790757275292429,1.766955504414682,-1.2550605964516544,-0.3057616960864295,0.13918293724861736,-0.9243918766544569
438,GW101-3H11_contig_1_340,K00826,Metabolism,Amino acid metabolism,Cysteine and methionine metabolism,"E2.6.1.42, ilvE; branched-chain amino acid aminotransferase",ko09100,ko09105,ko00270,0.2881021508209761,-2.134449043459942,0.4381371036098917,-0.035322129107043215,0.47074757541651185,0.9727843427196097
439,GW101-3H11_contig_1_340,K00826,Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation","E2.6.1.42, ilvE; branched-chain amino acid aminotransferase",ko09100,ko09105,ko00280,0.2881021508209761,-2.134449043459942,0.4381371036098917,-0.035322129107043215,0.47074757541651185,0.9727843427196097
440,GW101-3H11_contig_1_340,K00826,Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine biosynthesis","E2.6.1.42, ilvE; branched-chain amino acid aminotransferase",ko09100,ko09105,ko00290,0.2881021508209761,-2.134449043459942,0.4381371036098917,-0.035322129107043215,0.47074757541651185,0.9727843427196097
441,GW101-3H11_contig_1_340,K00826,Metabolism,Metabolism of cofactors and vitamins,Pantothenate and CoA biosynthesis,"E2.6.1.42, ilvE; branched-chain amino acid aminotransferase",ko09100,ko09108,ko00770,0.2881021508209761,-2.134449043459942,0.4381371036098917,-0.035322129107043215,0.47074757541651185,0.9727843427196097
442,GW101-3H11_contig_1_340,K00826,Metabolism,Biosynthesis of other secondary metabolites,Glucosinolate biosynthesis,"E2.6.1.42, ilvE; branched-chain amino acid aminotransferase",ko09100,ko09110,ko00966,0.2881021508209761,-2.134449043459942,0.4381371036098917,-0.035322129107043215,0.47074757541651185,0.9727843427196097
443,GW101-3H11_contig_1_340,K00826,Brite Hierarchies,Protein families: metabolism,Amino acid related enzymes,"E2.6.1.42, ilvE; branched-chain amino acid aminotransferase",ko09180,ko09181,ko01007,0.2881021508209761,-2.134449043459942,0.4381371036098917,-0.035322129107043215,0.47074757541651185,0.9727843427196097
487,GW101-3H11_contig_1_375,K03570,Brite Hierarchies,Protein families: genetic information processing,Chromosome and associated proteins,mreC; rod shape-determining protein,ko09180,ko09182,ko03036,0.704018071777302,0.8776822956934193,0.35426849702390306,-2.018028452425853,-0.47507119017785776,0.5571307781090848
532,GW101-3H11_contig_1_416,K02950,Genetic Information Processing,Translation,Ribosome,"RP-S12, MRPS12, rpsL; small subunit ribosomal protein",ko09120,ko09122,ko03010,0.4750604729616195,-2.0407932978502954,0.5536322800155093,-0.1648924235809438,0.04853082524770035,1.1284621432064101
533,GW101-3H11_contig_1_416,K02950,Brite Hierarchies,Protein families: genetic information processing,Ribosome,"RP-S12, MRPS12, rpsL; small subunit ribosomal protein",ko09180,ko09182,ko03011,0.4750604729616195,-2.0407932978502954,0.5536322800155093,-0.1648924235809438,0.04853082524770035,1.1284621432064101
546,GW101-3H11_contig_1_422,K02926,Genetic Information Processing,Translation,Ribosome,"RP-L4, MRPL4, rplD; large subunit ribosomal protein",ko09120,ko09122,ko03010,0.8922908899186099,-1.7791511504977737,0.7546154332702495,-0.11736350126889637,-0.7190167139320763,0.9686250425098882
547,GW101-3H11_contig_1_422,K02926,Brite Hierarchies,Protein families: genetic information processing,Ribosome,"RP-L4, MRPL4, rplD; large subunit ribosomal protein",ko09180,ko09182,ko03011,0.8922908899186099,-1.7791511504977737,0.7546154332702495,-0.11736350126889637,-0.7190167139320763,0.9686250425098882
548,GW101-3H11_contig_1_422,K16193,Not Included in Pathway or Brite,Unclassified: signaling and cellular processes,Structural,arfC; uncharacterized membrane protein,ko09190,ko09193,ko99992,0.8922908899186099,-1.7791511504977737,0.7546154332702495,-0.11736350126889637,-0.7190167139320763,0.9686250425098882
614,GW101-3H11_contig_1_458,K02108,Metabolism,Energy metabolism,Oxidative phosphorylation,"ATPF0A, atpB; F-type H+-transporting ATPase subunit",ko09100,ko09102,ko00190,-0.016180856430818232,-1.910166244113807,0.3496446864534685,0.02603771362024446,0.059164344878352745,1.491500355592555
615,GW101-3H11_contig_1_458,K02108,Metabolism,Energy metabolism,Photosynthesis,"ATPF0A, atpB; F-type H+-transporting ATPase subunit",ko09100,ko09102,ko00195,-0.016180856430818232,-1.910166244113807,0.3496446864534685,0.02603771362024446,0.059164344878352745,1.491500355592555
616,GW101-3H11_contig_1_458,K02108,Brite Hierarchies,Protein families: metabolism,Photosynthesis proteins,"ATPF0A, atpB; F-type H+-transporting ATPase subunit",ko09180,ko09181,ko00194,-0.016180856430818232,-1.910166244113807,0.3496446864534685,0.02603771362024446,0.059164344878352745,1.491500355592555
617,GW101-3H11_contig_1_458,K02108,Brite Hierarchies,Protein families: genetic information processing,Chaperones and folding catalysts,"ATPF0A, atpB; F-type H+-transporting ATPase subunit",ko09180,ko09182,ko03110,-0.016180856430818232,-1.910166244113807,0.3496446864534685,0.02603771362024446,0.059164344878352745,1.491500355592555
665,GW101-3H11_contig_1_478,K03577,Brite Hierarchies,Protein families: genetic information processing,Transcription factors,"acrR, smeT; TetR/AcrR family transcriptional regulator, acrAB operon",ko09180,ko09182,ko03000,0.0870712002068292,1.9959440675611773,-1.2323378547780943,-0.2577448327903441,0.05549420184613458,-0.6484267820457049
666,GW101-3H11_contig_1_478,K18135,Human Diseases,Drug resistance: antimicrobial,beta-Lactam resistance,"nalD; TetR/AcrR family transcriptional regulator, repressor of the mexAB-oprM multidrug resistance",ko09160,ko09175,ko01501,0.0870712002068292,1.9959440675611773,-1.2323378547780943,-0.2577448327903441,0.05549420184613458,-0.6484267820457049
667,GW101-3H11_contig_1_478,K18135,Brite Hierarchies,Protein families: genetic information processing,Transcription factors,"nalD; TetR/AcrR family transcriptional regulator, repressor of the mexAB-oprM multidrug resistance",ko09180,ko09182,ko03000,0.0870712002068292,1.9959440675611773,-1.2323378547780943,-0.2577448327903441,0.05549420184613458,-0.6484267820457049
700,GW101-3H11_contig_1_488,K03744,Not Included in Pathway or Brite,Unclassified,General function prediction,lemA; LemA,ko09190,ko09194,ko99996,0.562230387828091,1.048506742835361,1.1081623572961479,-0.2568970510360036,-1.591405641688987,-0.8705967952346082
801,GW101-3H11_contig_1_527,K07234,Not Included in Pathway or Brite,Unclassified: signaling and cellular processes,,K07234; uncharacterized protein involved in response to,ko09190,ko09193,ko99994,-0.6645147336306132,1.9306208129151505,-0.8060981464434208,0.3077485433768849,0.24536537707085823,-1.0131218532888535
820,GW101-3H11_contig_1_552,K09958,Not Included in Pathway or Brite,Unclassified,Unclassified,K09958; uncharacterized,ko09190,ko09194,ko99997,0.12668678568249436,2.1095060206554956,-0.9215453369325555,-0.6852985525328866,-0.40691019836804115,-0.2224387185045097
937,GW101-3H11_contig_1_656,K01424,Metabolism,Amino acid metabolism,"Alanine, aspartate and glutamate metabolism","E3.5.1.1, ansA, ansB; L-asparaginase",ko09100,ko09105,ko00250,0.5049677668322667,-2.212483968526298,0.2697580152395859,0.6138371720580093,0.5865082999461568,0.23741271445028123
938,GW101-3H11_contig_1_656,K01424,Metabolism,Metabolism of other amino acids,Cyanoamino acid metabolism,"E3.5.1.1, ansA, ansB; L-asparaginase",ko09100,ko09106,ko00460,0.5049677668322667,-2.212483968526298,0.2697580152395859,0.6138371720580093,0.5865082999461568,0.23741271445028123
1051,GW101-3H11_contig_1_707,K02482,Brite Hierarchies,Protein families: metabolism,Protein kinases,"flgS; two-component system, NtrC family, sensor kinase",ko09180,ko09181,ko01001,-0.26209167552159873,2.222031279578574,-0.444839825652273,-0.5334784873881304,-0.36912868358314366,-0.6124926074334203
1052,GW101-3H11_contig_1_707,K02482,Brite Hierarchies,Protein families: signaling and cellular processes,Two-component system,"flgS; two-component system, NtrC family, sensor kinase",ko09180,ko09183,ko02022,-0.26209167552159873,2.222031279578574,-0.444839825652273,-0.5334784873881304,-0.36912868358314366,-0.6124926074334203
1086,GW101-3H11_contig_1_735,K01633,Metabolism,Metabolism of cofactors and vitamins,Folate biosynthesis,"folB; 7,8-dihydroneopterin aldolase/epimerase/oxygenase [EC:4.1.2.25 5.1.99.8",ko09100,ko09108,ko00790,0.4331050432824174,-2.1277566780225667,0.7415734340241739,-0.0812318846886856,0.20599343911961898,0.8283166462850406
1088,GW101-3H11_contig_1_740,K15977,Not Included in Pathway or Brite,Unclassified: metabolism,,K15977; putative,ko09190,ko09191,ko99999,-0.6397860851164155,1.4970345620201109,-0.5634413777614724,-1.4170425239022288,0.11818977292995773,1.0050456518300481
1094,GW101-3H11_contig_1_749,K00799,Metabolism,Metabolism of other amino acids,Glutathione metabolism,"GST, gst; glutathione S-transferase",ko09100,ko09106,ko00480,-1.0187586928101244,-1.5233188021960704,0.2644090903043166,1.2700494642500473,0.028917493328157934,0.9787014471236688
1095,GW101-3H11_contig_1_749,K00799,Metabolism,Xenobiotics biodegradation and metabolism,Metabolism of xenobiotics by cytochrome P450,"GST, gst; glutathione S-transferase",ko09100,ko09111,ko00980,-1.0187586928101244,-1.5233188021960704,0.2644090903043166,1.2700494642500473,0.028917493328157934,0.9787014471236688
1096,GW101-3H11_contig_1_749,K00799,Metabolism,Xenobiotics biodegradation and metabolism,Drug metabolism - cytochrome P450,"GST, gst; glutathione S-transferase",ko09100,ko09111,ko00982,-1.0187586928101244,-1.5233188021960704,0.2644090903043166,1.2700494642500473,0.028917493328157934,0.9787014471236688
1097,GW101-3H11_contig_1_749,K00799,Metabolism,Xenobiotics biodegradation and metabolism,Drug metabolism - other enzymes,"GST, gst; glutathione S-transferase",ko09100,ko09111,ko00983,-1.0187586928101244,-1.5233188021960704,0.2644090903043166,1.2700494642500473,0.028917493328157934,0.9787014471236688
1098,GW101-3H11_contig_1_749,K00799,Organismal Systems,Aging,Longevity regulating pathway - worm,"GST, gst; glutathione S-transferase",ko09150,ko09149,ko04212,-1.0187586928101244,-1.5233188021960704,0.2644090903043166,1.2700494642500473,0.028917493328157934,0.9787014471236688
1099,GW101-3H11_contig_1_749,K00799,Human Diseases,Cancer: overview,Pathways in cancer,"GST, gst; glutathione S-transferase",ko09160,ko09161,ko05200,-1.0187586928101244,-1.5233188021960704,0.2644090903043166,1.2700494642500473,0.028917493328157934,0.9787014471236688
1100,GW101-3H11_contig_1_749,K00799,Human Diseases,Cancer: overview,Chemical carcinogenesis - DNA adducts,"GST, gst; glutathione S-transferase",ko09160,ko09161,ko05204,-1.0187586928101244,-1.5233188021960704,0.2644090903043166,1.2700494642500473,0.028917493328157934,0.9787014471236688
1101,GW101-3H11_contig_1_749,K00799,Human Diseases,Cancer: overview,Chemical carcinogenesis - receptor activation,"GST, gst; glutathione S-transferase",ko09160,ko09161,ko05207,-1.0187586928101244,-1.5233188021960704,0.2644090903043166,1.2700494642500473,0.028917493328157934,0.9787014471236688
1102,GW101-3H11_contig_1_749,K00799,Human Diseases,Cancer: overview,Chemical carcinogenesis - reactive oxygen species,"GST, gst; glutathione S-transferase",ko09160,ko09161,ko05208,-1.0187586928101244,-1.5233188021960704,0.2644090903043166,1.2700494642500473,0.028917493328157934,0.9787014471236688
1103,GW101-3H11_contig_1_749,K00799,Human Diseases,Cancer: specific types,Hepatocellular carcinoma,"GST, gst; glutathione S-transferase",ko09160,ko09162,ko05225,-1.0187586928101244,-1.5233188021960704,0.2644090903043166,1.2700494642500473,0.028917493328157934,0.9787014471236688
1104,GW101-3H11_contig_1_749,K00799,Human Diseases,Cardiovascular disease,Fluid shear stress and atherosclerosis,"GST, gst; glutathione S-transferase",ko09160,ko09166,ko05418,-1.0187586928101244,-1.5233188021960704,0.2644090903043166,1.2700494642500473,0.028917493328157934,0.9787014471236688
1105,GW101-3H11_contig_1_749,K00799,Human Diseases,Drug resistance: antineoplastic,Platinum drug resistance,"GST, gst; glutathione S-transferase",ko09160,ko09176,ko01524,-1.0187586928101244,-1.5233188021960704,0.2644090903043166,1.2700494642500473,0.028917493328157934,0.9787014471236688
1106,GW101-3H11_contig_1_749,K00799,Brite Hierarchies,Protein families: signaling and cellular processes,Transporters,"GST, gst; glutathione S-transferase",ko09180,ko09183,ko02000,-1.0187586928101244,-1.5233188021960704,0.2644090903043166,1.2700494642500473,0.028917493328157934,0.9787014471236688
1122,GW101-3H11_contig_1_766,K00457,Metabolism,Amino acid metabolism,Tyrosine metabolism,"HPD, hppD; 4-hydroxyphenylpyruvate dioxygenase",ko09100,ko09105,ko00350,0.11561106605413032,2.0148844209759864,-0.5055511283378978,-1.2468374193227305,-0.03870898337525925,-0.3393979559942236
1123,GW101-3H11_contig_1_766,K00457,Metabolism,Amino acid metabolism,Phenylalanine metabolism,"HPD, hppD; 4-hydroxyphenylpyruvate dioxygenase",ko09100,ko09105,ko00360,0.11561106605413032,2.0148844209759864,-0.5055511283378978,-1.2468374193227305,-0.03870898337525925,-0.3393979559942236
1124,GW101-3H11_contig_1_766,K00457,Metabolism,Metabolism of cofactors and vitamins,Ubiquinone and other terpenoid-quinone biosynthesis,"HPD, hppD; 4-hydroxyphenylpyruvate dioxygenase",ko09100,ko09108,ko00130,0.11561106605413032,2.0148844209759864,-0.5055511283378978,-1.2468374193227305,-0.03870898337525925,-0.3393979559942236
1125,GW101-3H11_contig_1_766,K00457,Brite Hierarchies,Protein families: signaling and cellular processes,Exosome,"HPD, hppD; 4-hydroxyphenylpyruvate dioxygenase",ko09180,ko09183,ko04147,0.11561106605413032,2.0148844209759864,-0.5055511283378978,-1.2468374193227305,-0.03870898337525925,-0.3393979559942236
1147,GW101-3H11_contig_1_785,K01878,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis,glyQ; glycyl-tRNA synthetase alpha chain,ko09120,ko09122,ko00970,-0.02771067960570558,-1.8030998723712746,0.6803346522717154,-0.22847137991581107,-0.11123253538139541,1.4901798150024712
1148,GW101-3H11_contig_1_785,K01878,Brite Hierarchies,Protein families: metabolism,Amino acid related enzymes,glyQ; glycyl-tRNA synthetase alpha chain,ko09180,ko09181,ko01007,-0.02771067960570558,-1.8030998723712746,0.6803346522717154,-0.22847137991581107,-0.11123253538139541,1.4901798150024712
1149,GW101-3H11_contig_1_785,K01878,Brite Hierarchies,Protein families: genetic information processing,Transfer RNA biogenesis,glyQ; glycyl-tRNA synthetase alpha chain,ko09180,ko09182,ko03016,-0.02771067960570558,-1.8030998723712746,0.6803346522717154,-0.22847137991581107,-0.11123253538139541,1.4901798150024712
1150,GW101-3H11_contig_1_785,K14164,Genetic Information Processing,Translation,Aminoacyl-tRNA biosynthesis,glyQS; glycyl-tRNA synthetase,ko09120,ko09122,ko00970,-0.02771067960570558,-1.8030998723712746,0.6803346522717154,-0.22847137991581107,-0.11123253538139541,1.4901798150024712
1151,GW101-3H11_contig_1_785,K14164,Brite Hierarchies,Protein families: genetic information processing,Transfer RNA biogenesis,glyQS; glycyl-tRNA synthetase,ko09180,ko09182,ko03016,-0.02771067960570558,-1.8030998723712746,0.6803346522717154,-0.22847137991581107,-0.11123253538139541,1.4901798150024712
1181,GW101-3H11_contig_1_802,K12996,Brite Hierarchies,Protein families: metabolism,Lipopolysaccharide biosynthesis proteins,rgpA; rhamnosyltransferase,ko09180,ko09181,ko01005,0.6219172080898462,1.224788381180165,0.8059587692623487,-1.7253265077726392,-0.6322120455422738,-0.2951258052174452
1376,GW101-3H11_contig_1_856,K00249,Metabolism,Lipid metabolism,Fatty acid degradation,"ACADM, acd; acyl-CoA dehydrogenase",ko09100,ko09103,ko00071,-0.20906685136442096,2.1963506607334313,-0.502160394992881,-0.25146325124407215,-0.44953199627924956,-0.7841281668528007
1377,GW101-3H11_contig_1_856,K00249,Metabolism,Amino acid metabolism,"Valine, leucine and isoleucine degradation","ACADM, acd; acyl-CoA dehydrogenase",ko09100,ko09105,ko00280,-0.20906685136442096,2.1963506607334313,-0.502160394992881,-0.25146325124407215,-0.44953199627924956,-0.7841281668528007
1378,GW101-3H11_contig_1_856,K00249,Organismal Systems,Endocrine system,PPAR signaling pathway,"ACADM, acd; acyl-CoA dehydrogenase",ko09150,ko09152,ko03320,-0.20906685136442096,2.1963506607334313,-0.502160394992881,-0.25146325124407215,-0.44953199627924956,-0.7841281668528007
1379,GW101-3H11_contig_1_856,K00249,Human Diseases,Endocrine and metabolic disease,Alcoholic liver disease,"ACADM, acd; acyl-CoA dehydrogenase",ko09160,ko09167,ko04936,-0.20906685136442096,2.1963506607334313,-0.502160394992881,-0.25146325124407215,-0.44953199627924956,-0.7841281668528007
1380,GW101-3H11_contig_1_856,K00255,Metabolism,Lipid metabolism,Fatty acid degradation,ACADL; long-chain-acyl-CoA dehydrogenase,ko09100,ko09103,ko00071,-0.20906685136442096,2.1963506607334313,-0.502160394992881,-0.25146325124407215,-0.44953199627924956,-0.7841281668528007
1381,GW101-3H11_contig_1_856,K00255,Organismal Systems,Endocrine system,PPAR signaling pathway,ACADL; long-chain-acyl-CoA dehydrogenase,ko09150,ko09152,ko03320,-0.20906685136442096,2.1963506607334313,-0.502160394992881,-0.25146325124407215,-0.44953199627924956,-0.7841281668528007
1436,GW101-3H11_contig_1_877,K10001,Environmental Information Processing,Membrane transport,ABC transporters,"gltI, aatJ; glutamate/aspartate transport system substrate-binding",ko09130,ko09131,ko02010,-0.07965782315355013,-2.1723853876030135,0.5782502255164865,0.5098585878169264,0.5452546987530854,0.6186796986700666
1437,GW101-3H11_contig_1_877,K10001,Environmental Information Processing,Signal transduction,Two-component system,"gltI, aatJ; glutamate/aspartate transport system substrate-binding",ko09130,ko09132,ko02020,-0.07965782315355013,-2.1723853876030135,0.5782502255164865,0.5098585878169264,0.5452546987530854,0.6186796986700666
1438,GW101-3H11_contig_1_877,K10001,Brite Hierarchies,Protein families: signaling and cellular processes,Transporters,"gltI, aatJ; glutamate/aspartate transport system substrate-binding",ko09180,ko09183,ko02000,-0.07965782315355013,-2.1723853876030135,0.5782502255164865,0.5098585878169264,0.5452546987530854,0.6186796986700666
1476,GW101-3H11_contig_1_898,K14414,Brite Hierarchies,Protein families: genetic information processing,Transcription factors,rtcR; transcriptional regulatory protein,ko09180,ko09182,ko03000,0.2381662427972443,1.9442237704103469,-0.2003179119047574,-1.2862866854302957,-0.011328155474469016,-0.6844572603980678
1629,GW101-3H11_contig_1_947,K02463,Cellular Processes,Cellular community - prokaryotes,Biofilm formation - Vibrio cholerae,gspN; general secretion pathway protein,ko09140,ko09145,ko05111,0.48516719728048424,1.4899179510730933,0.4591037642705085,-1.761812086714947,-0.38065129905691625,-0.2917255268522291
1630,GW101-3H11_contig_1_947,K02463,Brite Hierarchies,Protein families: signaling and cellular processes,Secretion system,gspN; general secretion pathway protein,ko09180,ko09183,ko02044,0.48516719728048424,1.4899179510730933,0.4591037642705085,-1.761812086714947,-0.38065129905691625,-0.2917255268522291
1721,GW101-3H11_contig_1_975,K00616,Metabolism,Carbohydrate metabolism,Pentose phosphate pathway,"E2.2.1.2, talA, talB; transaldolase",ko09100,ko09101,ko00030,0.016017072274827453,-2.1709977027523646,0.427952478298722,0.31266289611831954,0.6552380471143219,0.7591272089461659
1722,GW101-3H11_contig_1_978,K17315,Environmental Information Processing,Membrane transport,ABC transporters,"gtsA, glcE; glucose/mannose transport system substrate-binding",ko09130,ko09131,ko02010,-0.4215456577520697,2.2159551217060356,-0.7220236786990989,-0.4266449922485075,-0.32094307634071484,-0.3247977166656397
1723,GW101-3H11_contig_1_978,K17315,Brite Hierarchies,Protein families: signaling and cellular processes,Transporters,"gtsA, glcE; glucose/mannose transport system substrate-binding",ko09180,ko09183,ko02000,-0.4215456577520697,2.2159551217060356,-0.7220236786990989,-0.4266449922485075,-0.32094307634071484,-0.3247977166656397
1774,GW101-3H11_contig_1_997,K13874,Metabolism,Carbohydrate metabolism,Ascorbate and aldarate metabolism,araB; L-arabinonolactonase,ko09100,ko09101,ko00053,-0.09857201100552099,2.1024406338813426,-1.0228128274268082,-0.009581662751781328,-0.32463452727627395,-0.646839605420961
1775,GW101-3H11_contig_1_997,K14274,Metabolism,Carbohydrate metabolism,Pentose and glucuronate interconversions,"xylC; xylono-1,5-lactonase",ko09100,ko09101,ko00040,-0.09857201100552099,2.1024406338813426,-1.0228128274268082,-0.009581662751781328,-0.32463452727627395,-0.646839605420961
1808,GW101-3H11_contig_1_1017,K03457,Not Included in Pathway or Brite,Unclassified: signaling and cellular processes,,"TC.NCS1; nucleobase:cation symporter-1, NCS1",ko09190,ko09193,ko99977,-0.5059257579038026,-2.027218762805205,0.7392535457182787,0.5037008745593075,0.6141306213858325,0.6760594790455869
1852,GW101-3H11_contig_1_1035,K07399,Not Included in Pathway or Brite,Unclassified: genetic information processing,Protein,"resB, ccs1; cytochrome c biogenesis",ko09190,ko09192,ko99975,-0.44704151409428367,2.2152648102015853,-0.3318282388471589,-0.5394011057889576,-0.6599125591821835,-0.23708139228899788
1877,GW101-3H11_contig_1_1054,K00265,Metabolism,Energy metabolism,Nitrogen metabolism,gltB; glutamate synthase (NADPH) large chain,ko09100,ko09102,ko00910,0.17365531538379772,1.9388163708809902,-0.7717737801399392,-0.9203483377141319,-0.7931894500443146,0.3728398816336042
1878,GW101-3H11_contig_1_1054,K00265,Metabolism,Amino acid metabolism,"Alanine, aspartate and glutamate metabolism",gltB; glutamate synthase (NADPH) large chain,ko09100,ko09105,ko00250,0.17365531538379772,1.9388163708809902,-0.7717737801399392,-0.9203483377141319,-0.7931894500443146,0.3728398816336042
1879,GW101-3H11_contig_1_1054,K00265,Brite Hierarchies,Protein families: metabolism,Peptidases and inhibitors,gltB; glutamate synthase (NADPH) large chain,ko09180,ko09181,ko01002,0.17365531538379772,1.9388163708809902,-0.7717737801399392,-0.9203483377141319,-0.7931894500443146,0.3728398816336042
