Query	Seed ortholog	e-value	score	best tax lvl	Preferred_name	GO terms	EC number	KEGG KO	KEGG pathway	KEGG module	KEGG reaction	KEGG rclass	BRITE	KEGG TC	CAZy	BiGG reaction	annot lvl	matching OGs	Best OG	COG cat	description
FW510-R12_contig_1_11	1163409.UUA_16443	1.1e-94	352.8	Xanthomonadales	sfp		2.7.8.7	ko:K00997,ko:K06133	ko00770,map00770		R01625	RC00002	ko00000,ko00001,ko01000				Bacteria	1MZHC@1224,1S466@1236,1X71D@135614,COG2091@1,COG2091@2	NA|NA|NA	H	Belongs to the P-Pant transferase superfamily
FW510-R12_contig_1_12	1163409.UUA_16438	0.0	2135.9	Xanthomonadales	MA20_19630												Bacteria	1MUY7@1224,1RP2U@1236,1X43U@135614,COG0591@1,COG0591@2,COG0642@1,COG0784@1,COG0784@2,COG2205@2	NA|NA|NA	T	PhoQ Sensor
FW510-R12_contig_1_13	1163408.UU9_14270	6.800000000000001e-249	866.3	Xanthomonadales	gltD		1.4.1.13,1.4.1.14	ko:K00266	ko00250,ko00910,ko01100,ko01110,ko01120,ko01130,ko01230,map00250,map00910,map01100,map01110,map01120,map01130,map01230		R00093,R00114,R00248	RC00006,RC00010,RC02799	ko00000,ko00001,ko01000			iJN678.gltD,iSB619.SA_RS02450	Bacteria	1MU2H@1224,1RMY7@1236,1X468@135614,COG0493@1,COG0493@2	NA|NA|NA	E	Glutamate synthase
FW510-R12_contig_1_14	1163408.UU9_14265	0.0	2814.3	Xanthomonadales	gltB	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006520,GO:0006536,GO:0006537,GO:0006541,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009064,GO:0009084,GO:0009987,GO:0015930,GO:0016053,GO:0016491,GO:0016638,GO:0019676,GO:0019740,GO:0019752,GO:0043436,GO:0043648,GO:0043650,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046394,GO:0055114,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	1.4.1.13,1.4.1.14,1.4.7.1	ko:K00265,ko:K00284	ko00250,ko00630,ko00910,ko01100,ko01110,ko01120,ko01130,ko01230,map00250,map00630,map00910,map01100,map01110,map01120,map01130,map01230		R00021,R00093,R00114,R00248,R10086	RC00006,RC00010,RC02799	ko00000,ko00001,ko01000				Bacteria	1MU7B@1224,1RN2W@1236,1X465@135614,COG0067@1,COG0067@2,COG0069@1,COG0069@2	NA|NA|NA	E	Glutamate synthase
FW510-R12_contig_1_15	1163407.UU7_15165	8.5e-106	389.8	Xanthomonadales	tcsR												Bacteria	1P4TD@1224,1RU35@1236,1X3JV@135614,COG2197@1,COG2197@2	NA|NA|NA	KT	Response regulator containing a CheY-like receiver domain and an HTH DNA-binding domain
FW510-R12_contig_1_16	1163409.UUA_16428	0.0	1329.3	Xanthomonadales	acsA		6.2.1.1	ko:K01895	ko00010,ko00620,ko00640,ko00680,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00620,map00640,map00680,map00720,map01100,map01110,map01120,map01130,map01200	M00357	R00235,R00236,R00316,R00926,R01354	RC00004,RC00012,RC00043,RC00070,RC02746,RC02816	ko00000,ko00001,ko00002,ko01000,ko01004				Bacteria	1MUF5@1224,1RMNZ@1236,1X34U@135614,COG0365@1,COG0365@2	NA|NA|NA	I	Catalyzes the conversion of acetate into acetyl-CoA (AcCoA), an essential intermediate at the junction of anabolic and catabolic pathways. AcsA undergoes a two-step reaction. In the first half reaction, AcsA combines acetate with ATP to form acetyl-adenylate (AcAMP) intermediate. In the second half reaction, it can then transfer the acetyl group from AcAMP to the sulfhydryl group of CoA, forming the product AcCoA
FW510-R12_contig_1_17	1163409.UUA_16423	5.0999999999999996e-222	776.9	Xanthomonadales													Bacteria	1QSVK@1224,1RWG6@1236,1X3R0@135614,COG3203@1,COG3203@2	NA|NA|NA	M	Forms passive diffusion pores that allow small molecular weight hydrophilic materials across the outer membrane
FW510-R12_contig_1_18	1163409.UUA_16418	4.9e-304	1049.7	Xanthomonadales	mtbA												Bacteria	1MU46@1224,1S174@1236,1X3HQ@135614,COG0477@1,COG0477@2	NA|NA|NA	EGP	COG0477 Permeases of the major facilitator superfamily
FW510-R12_contig_1_19	1163409.UUA_16413	0.0	1092.4	Xanthomonadales	acsf		6.2.1.3	ko:K00666,ko:K01897	ko00061,ko00071,ko01100,ko01212,ko02024,ko03320,ko04146,ko04216,ko04714,ko04920,map00061,map00071,map01100,map01212,map02024,map03320,map04146,map04216,map04714,map04920	M00086	R01280	RC00004,RC00014	ko00000,ko00001,ko00002,ko01000,ko01004,ko04147	4.C.1.1			Bacteria	1MU6G@1224,1RMQ4@1236,1X4ZP@135614,COG0318@1,COG0318@2	NA|NA|NA	IQ	AMP-binding enzyme C-terminal domain
FW510-R12_contig_1_20	1266914.ATUK01000011_gene2262	6.9e-85	320.9	Gammaproteobacteria													Bacteria	1RBIF@1224,1SDAR@1236,COG3547@1,COG3547@2	NA|NA|NA	L	Transposase IS116/IS110/IS902 family
FW510-R12_contig_1_21	1163409.UUA_15588	1.5e-33	148.3	Xanthomonadales													Bacteria	1QD08@1224,1T8UT@1236,1XB9N@135614,2ADSJ@1,313I4@2	NA|NA|NA		
FW510-R12_contig_1_22	1163409.UUA_15593	1.6e-202	711.8	Xanthomonadales	splB												Bacteria	1MW0H@1224,1RQNF@1236,1X3K1@135614,COG1533@1,COG1533@2	NA|NA|NA	L	DNA repair photolyase
FW510-R12_contig_1_23	666685.R2APBS1_0021	1e-183	649.8	Xanthomonadales													Bacteria	1QBJ2@1224,1T74N@1236,1X8RW@135614,2AP7N@1,31E9H@2	NA|NA|NA		
FW510-R12_contig_1_24	666685.R2APBS1_0022	1.7e-138	498.8	Xanthomonadales				ko:K01990		M00254			ko00000,ko00002,ko02000	3.A.1			Bacteria	1R9P3@1224,1S39R@1236,1X5CQ@135614,COG1131@1,COG1131@2	NA|NA|NA	V	ABC-type multidrug transport system, ATPase component
FW510-R12_contig_1_25	666685.R2APBS1_0023	2.5e-54	218.0	Xanthomonadales				ko:K07978,ko:K07979					ko00000,ko03000				Bacteria	1N23D@1224,1S9NK@1236,1X74P@135614,COG1725@1,COG1725@2	NA|NA|NA	K	transcriptional
FW510-R12_contig_1_26	1163409.UUA_15598	0.0	1271.9	Xanthomonadales													Bacteria	1MWGR@1224,1RWHB@1236,1X3VE@135614,COG0823@1,COG0823@2,COG1506@1,COG1506@2	NA|NA|NA	EU	Dipeptidyl aminopeptidase acylaminoacyl peptidase
FW510-R12_contig_1_27	666685.R2APBS1_0025	1.4e-132	479.2	Xanthomonadales	rssA			ko:K07001					ko00000				Bacteria	1MUM9@1224,1RRSK@1236,1X384@135614,COG1752@1,COG1752@2	NA|NA|NA	S	esterase of the alpha-beta hydrolase superfamily
FW510-R12_contig_1_28	666685.R2APBS1_0026	6.8e-187	659.8	Xanthomonadales	fbp	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0005984,GO:0005985,GO:0005986,GO:0005996,GO:0006000,GO:0006002,GO:0006006,GO:0006094,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0009058,GO:0009311,GO:0009312,GO:0009987,GO:0016043,GO:0016051,GO:0016311,GO:0016787,GO:0016788,GO:0016791,GO:0019203,GO:0019318,GO:0019319,GO:0019637,GO:0022607,GO:0030388,GO:0034637,GO:0042132,GO:0042578,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044262,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046351,GO:0046364,GO:0050308,GO:0051259,GO:0051260,GO:0051262,GO:0051289,GO:0065003,GO:0071704,GO:0071840,GO:1901135,GO:1901576	3.1.3.11	ko:K03841	ko00010,ko00030,ko00051,ko00680,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko04152,ko04910,map00010,map00030,map00051,map00680,map00710,map01100,map01110,map01120,map01130,map01200,map04152,map04910	M00003,M00165,M00167,M00344	R00762,R04780	RC00017	ko00000,ko00001,ko00002,ko01000,ko04147				Bacteria	1MW0E@1224,1RNFF@1236,1X3S6@135614,COG0158@1,COG0158@2	NA|NA|NA	G	Belongs to the FBPase class 1 family
FW510-R12_contig_1_29	666685.R2APBS1_0027	7e-107	393.3	Xanthomonadales	ydeA												Bacteria	1N5IM@1224,1SG4D@1236,1X87S@135614,COG0693@1,COG0693@2	NA|NA|NA	S	intracellular protease amidase
FW510-R12_contig_1_31	1163407.UU7_15080	3.2e-68	264.2	Xanthomonadales													Bacteria	1RFA9@1224,1S5SC@1236,1X73K@135614,COG3791@1,COG3791@2	NA|NA|NA	S	Glutathione-dependent formaldehyde-activating enzyme
FW510-R12_contig_1_32	1163409.UUA_15633	3.1999999999999998e-127	461.1	Xanthomonadales													Bacteria	1MXS8@1224,1S4WF@1236,1XCN8@135614,COG2378@1,COG2378@2	NA|NA|NA	K	WYL domain
FW510-R12_contig_1_33	1163409.UUA_15638	1.2e-114	419.1	Gammaproteobacteria													Bacteria	1MVIY@1224,1S29Q@1236,COG4318@1,COG4318@2	NA|NA|NA	S	Putative ParB-like nuclease
FW510-R12_contig_1_34	1163409.UUA_15643	3.4e-257	894.0	Xanthomonadales	hvsT			ko:K03321					ko00000,ko02000	2.A.53.3			Bacteria	1MWDF@1224,1SYC8@1236,1X5E4@135614,COG0659@1,COG0659@2	NA|NA|NA	P	Sulfate permease family
FW510-R12_contig_1_35	1163409.UUA_15648	0.0	1142.1	Xanthomonadales													Bacteria	1MUBX@1224,1RMT7@1236,1X4HY@135614,COG4805@1,COG4805@2	NA|NA|NA	S	protein conserved in bacteria
FW510-R12_contig_1_36	1163409.UUA_15653	1.2e-70	272.3	Xanthomonadales													Bacteria	1N1FN@1224,1S5GC@1236,1X6GX@135614,COG5642@1,COG5642@2	NA|NA|NA	S	Protein of unknown function (DUF2384)
FW510-R12_contig_1_37	1163409.UUA_15658	1.4000000000000002e-124	452.2	Xanthomonadales													Bacteria	1PZ17@1224,1T1AH@1236,1X4UE@135614,COG5654@1,COG5654@2	NA|NA|NA	S	RES
FW510-R12_contig_1_38	1163409.UUA_15663	3.3e-113	414.5	Xanthomonadales			3.2.1.14,3.2.1.4	ko:K01179,ko:K01183	ko00500,ko00520,ko01100,map00500,map00520,map01100		R01206,R02334,R06200,R11307,R11308	RC00467	ko00000,ko00001,ko01000		GH18,GH5,GH9		Bacteria	1RBFJ@1224,1SEW9@1236,1X661@135614,COG2755@1,COG2755@2	NA|NA|NA	E	COG2755 Lysophospholipase L1 and related esterases
FW510-R12_contig_1_39	1163409.UUA_15668	9.1e-187	659.4	Gammaproteobacteria			1.2.1.12,1.2.1.59,1.4.1.16	ko:K00134,ko:K00150,ko:K03340	ko00010,ko00300,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,ko04066,ko05010,map00010,map00300,map00710,map01100,map01110,map01120,map01130,map01200,map01230,map04066,map05010	M00001,M00002,M00003,M00165,M00166,M00308,M00526,M00552	R01061,R01063,R02755	RC00006,RC00149	ko00000,ko00001,ko00002,ko01000,ko04131,ko04147				Bacteria	1N2N1@1224,1SK05@1236,COG0057@1,COG0057@2	NA|NA|NA	G	Dihydrodipicolinate reductase, N-terminus
FW510-R12_contig_1_40	1163409.UUA_15673	5.099999999999998e-175	620.2	Xanthomonadales	phhA	GO:0003674,GO:0003824,GO:0004497,GO:0004505,GO:0006082,GO:0006520,GO:0006558,GO:0006559,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009063,GO:0009072,GO:0009074,GO:0009987,GO:0016054,GO:0016491,GO:0016705,GO:0016714,GO:0017144,GO:0019439,GO:0019752,GO:0042737,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044281,GO:0044282,GO:0046395,GO:0055114,GO:0071704,GO:1901360,GO:1901361,GO:1901564,GO:1901565,GO:1901575,GO:1901605,GO:1901606,GO:1902221,GO:1902222	1.14.16.1	ko:K00500	ko00360,ko00400,ko00790,ko01100,ko01230,map00360,map00400,map00790,map01100,map01230		R01795,R07211	RC00490	ko00000,ko00001,ko01000				Bacteria	1MU29@1224,1RQBJ@1236,1X3NW@135614,COG3186@1,COG3186@2	NA|NA|NA	E	Phenylalanine-4-hydroxylase
FW510-R12_contig_1_41	666685.R2APBS1_0036	4.5e-77	293.9	Xanthomonadales		GO:0001101,GO:0003674,GO:0003676,GO:0003677,GO:0003700,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006355,GO:0008150,GO:0009889,GO:0010033,GO:0010243,GO:0010468,GO:0010556,GO:0019219,GO:0019222,GO:0031323,GO:0031326,GO:0042221,GO:0043200,GO:0043565,GO:0044424,GO:0044444,GO:0044464,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0080090,GO:0097159,GO:0140110,GO:1901363,GO:1901698,GO:1901700,GO:1903506,GO:2000112,GO:2001141		ko:K03719					ko00000,ko03000,ko03036				Bacteria	1QSAH@1224,1T01I@1236,1X6KV@135614,COG1522@1,COG1522@2	NA|NA|NA	K	transcriptional
FW510-R12_contig_1_42	1532557.JL37_24590	2.0000000000000002e-159	568.9	Alcaligenaceae													Bacteria	1MVHG@1224,2WGUW@28216,3T60B@506,COG0477@1,COG2814@2	NA|NA|NA	EGP	Major facilitator Superfamily
FW510-R12_contig_1_43	1054213.HMPREF9946_03765	4.7999999999999995e-61	241.1	Rhodospirillales													Bacteria	1RADD@1224,2JSCU@204441,2U6I8@28211,COG1309@1,COG1309@2	NA|NA|NA	K	Bacterial regulatory proteins, tetR family
FW510-R12_contig_1_44	1163409.UUA_15683	3.6e-135	487.6	Xanthomonadales	plsC		2.3.1.51	ko:K00655	ko00561,ko00564,ko01100,ko01110,map00561,map00564,map01100,map01110	M00089	R02241,R09381	RC00004,RC00037,RC00039	ko00000,ko00001,ko00002,ko01000,ko01004				Bacteria	1N2DG@1224,1S7SZ@1236,1X5QD@135614,COG0204@1,COG0204@2	NA|NA|NA	I	acetyltransferase
FW510-R12_contig_1_45	1163409.UUA_15688	1.8999999999999997e-189	668.3	Xanthomonadales		GO:0003674,GO:0003824,GO:0006629,GO:0008150,GO:0008152,GO:0009987,GO:0016787,GO:0016788,GO:0044237,GO:0044238,GO:0044255,GO:0071704		ko:K07019					ko00000				Bacteria	1MWV1@1224,1RN39@1236,1X3GG@135614,COG0429@1,COG0429@2	NA|NA|NA	S	hydrolase of the alpha beta-hydrolase fold
FW510-R12_contig_1_46	1163409.UUA_15693	0.0	2171.7	Xanthomonadales													Bacteria	1N86N@1224,1RZCC@1236,1X4Z0@135614,COG3537@1,COG3537@2	NA|NA|NA	G	Glycosyl hydrolase family 92
FW510-R12_contig_1_47	1163409.UUA_15698	2.4e-99	368.2	Xanthomonadales				ko:K07394					ko00000				Bacteria	1RD3H@1224,1S40I@1236,1X70N@135614,COG3751@1,COG3751@2	NA|NA|NA	O	2OG-Fe(II) oxygenase superfamily
FW510-R12_contig_1_48	1163409.UUA_15703	5.8e-32	142.9	Xanthomonadales	ypeB		2.7.7.7	ko:K02342,ko:K09954,ko:K10857	ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440	M00260	R00375,R00376,R00377,R00378	RC02795	ko00000,ko00001,ko00002,ko01000,ko03032,ko03400				Bacteria	1N7GT@1224,1SCBX@1236,1X89I@135614,COG3530@1,COG3530@2	NA|NA|NA	S	protein conserved in bacteria
FW510-R12_contig_1_49	1163409.UUA_15708	3.5999999999999996e-151	540.8	Xanthomonadales													Bacteria	1NNHX@1224,1RN1A@1236,1X3E7@135614,COG4798@1,COG4798@2	NA|NA|NA	S	Methyltransferase
FW510-R12_contig_1_50	1163409.UUA_15713	3.1e-270	937.2	Xanthomonadales													Bacteria	1MW4T@1224,1RPUI@1236,1X3NQ@135614,COG0464@1,COG0464@2	NA|NA|NA	O	ATPase family associated with various cellular activities (AAA)
FW510-R12_contig_1_51	1163409.UUA_15718	4.5e-203	713.8	Xanthomonadales	MA20_25025												Bacteria	1MVK5@1224,1RPE8@1236,1X5IH@135614,COG2133@1,COG2133@2	NA|NA|NA	G	Glucose / Sorbosone dehydrogenase
FW510-R12_contig_1_52	1163409.UUA_18072	1.8e-113	415.2	Xanthomonadales	ybhB			ko:K06910					ko00000				Bacteria	1N0Y4@1224,1RYVQ@1236,1X4CS@135614,COG1881@1,COG1881@2	NA|NA|NA	S	phosphatidylethanolamine-binding protein
FW510-R12_contig_1_54	1163409.UUA_18062	9.2e-14	83.2	Xanthomonadales													Bacteria	1QRXW@1224,1RV6A@1236,1X7WJ@135614,COG4575@1,COG4575@2	NA|NA|NA	S	ribosome binding
FW510-R12_contig_1_55	1163409.UUA_18057	2.7e-66	258.1	Xanthomonadales													Bacteria	1QBDG@1224,1T6YH@1236,1X8ER@135614,2A0TB@1,30NXZ@2	NA|NA|NA		
FW510-R12_contig_1_56	1163409.UUA_18052	4e-21	107.5	Xanthomonadales													Bacteria	1QBK4@1224,1T75Q@1236,1X8TS@135614,2BHAW@1,32BCG@2	NA|NA|NA		
FW510-R12_contig_1_57	1163409.UUA_16193	3.2e-177	627.9	Xanthomonadales	yhhT												Bacteria	1MXXU@1224,1RQCM@1236,1X4ZR@135614,COG0628@1,COG0628@2	NA|NA|NA	S	transporter
FW510-R12_contig_1_58	278963.ATWD01000002_gene238	1.8e-115	422.9	Acidobacteriia	pepQ		3.4.13.9	ko:K01271					ko00000,ko01000,ko01002				Bacteria	2JI89@204432,3Y460@57723,COG0006@1,COG0006@2	NA|NA|NA	E	Creatinase/Prolidase N-terminal domain
FW510-R12_contig_1_59	1163409.UUA_16223	2.2999999999999994e-24	117.9	Xanthomonadales				ko:K18900		M00698			ko00000,ko00002,ko01504,ko03000				Bacteria	1PTTR@1224,1RRTB@1236,1X5CB@135614,COG0583@1,COG0583@2	NA|NA|NA	K	transcriptional regulator
FW510-R12_contig_1_60	1163409.UUA_16228	5.5e-112	410.6	Xanthomonadales	uppP		3.6.1.27	ko:K06153	ko00550,map00550		R05627	RC00002	ko00000,ko00001,ko01000,ko01011				Bacteria	1MX02@1224,1RQQT@1236,1X39V@135614,COG1968@1,COG1968@2	NA|NA|NA	V	Catalyzes the dephosphorylation of undecaprenyl diphosphate (UPP). Confers resistance to bacitracin
FW510-R12_contig_1_61	666685.R2APBS1_0076	1.5e-111	409.1	Xanthomonadales													Bacteria	1RK4D@1224,1SBZY@1236,1X77F@135614,2C5U9@1,318BZ@2	NA|NA|NA	S	Bacterial protein of unknown function (Gcw_chp)
FW510-R12_contig_1_62	1163409.UUA_16233	1.7e-54	218.4	Xanthomonadales	glnB			ko:K04751,ko:K04752	ko02020,map02020				ko00000,ko00001				Bacteria	1RGWK@1224,1S67I@1236,1X6VI@135614,COG0347@1,COG0347@2	NA|NA|NA	K	at high nitrogen levels P-II prevents the phosphorylation of NR-I, the transcriptional activator of the glutamine synthetase gene (glnA)
