Query	Seed ortholog	e-value	score	best tax lvl	Preferred_name	GO terms	EC number	KEGG KO	KEGG pathway	KEGG module	KEGG reaction	KEGG rclass	BRITE	KEGG TC	CAZy	BiGG reaction	annot lvl	matching OGs	Best OG	COG cat	description
GW101-3H11_contig_1_11	358220.C380_00030	5.90E-302	1042.7	Comamonadaceae	fadD1		6.2.1.3	ko:K01897	"ko00061,ko00071,ko01100,ko01212,ko02024,ko03320,ko04146,ko04216,ko04714,ko04920,map00061,map00071,map01100,map01212,map02024,map03320,map04146,map04216,map04714,map04920"	M00086	R01280	"RC00004,RC00014"	"ko00000,ko00001,ko00002,ko01000,ko01004,ko04147"	4.C.1.1			Bacteria	"1MU6G@1224,2VI0I@28216,4A9NV@80864,COG0318@1,COG0318@2"	NA|NA|NA	IQ	PFAM AMP-dependent synthetase and ligase
GW101-3H11_contig_1_12	358220.C380_00035	1.40E-237	828.6	Comamonadaceae													Bacteria	"1P3SQ@1224,2VIDP@28216,4ACKP@80864,COG1680@1,COG1680@2"	NA|NA|NA	V	beta-lactamase
GW101-3H11_contig_1_13	358220.C380_00040	7.80E-92	343.2	Comamonadaceae													Bacteria	"1QTY9@1224,2VRG2@28216,4AJAS@80864,COG0526@1,COG0526@2"	NA|NA|NA	CO	PFAM Redoxin domain protein
GW101-3H11_contig_1_14	358220.C380_00045	4.00E-117	427.6	Betaproteobacteria	MA20_22750			ko:K06196					"ko00000,ko02000"	5.A.1.2			Bacteria	"1MVV0@1224,2VR3A@28216,COG0785@1,COG0785@2"	NA|NA|NA	O	Cytochrome c biogenesis protein
GW101-3H11_contig_1_15	358220.C380_00050	1.90E-60	238.8	Comamonadaceae													Bacteria	"1PZC7@1224,2W3NI@28216,4AI5T@80864,COG4731@1,COG4731@2"	NA|NA|NA	S	Uncharacterized protein conserved in bacteria (DUF2147)
GW101-3H11_contig_1_16	358220.C380_00055	1.70E-131	475.3	Comamonadaceae													Bacteria	"1MY3D@1224,2VI0K@28216,4AD54@80864,COG0745@1,COG0745@2"	NA|NA|NA	K	COG0745 Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain
GW101-3H11_contig_1_17	358220.C380_00060	5.20E-224	783.5	Comamonadaceae	rstB		"2.7.13.1,2.7.13.3"	"ko:K05962,ko:K07638"	"ko02020,ko02026,map02020,map02026"	"M00445,M00742,M00743"			"ko00000,ko00001,ko00002,ko01000,ko01001,ko02022"				Bacteria	"1PA1G@1224,2VHX5@28216,4ADQ1@80864,COG0642@1,COG0642@2"	NA|NA|NA	T	Histidine kinase
GW101-3H11_contig_1_18	232721.Ajs_4151	3.50E-114	417.9	Comamonadaceae	MA20_09500												Bacteria	"1MU7F@1224,2VMAS@28216,4A9V2@80864,COG1801@1,COG1801@2"	NA|NA|NA	S	Protein of unknown function DUF72
GW101-3H11_contig_1_19	358220.C380_00075	4.70E-48	196.8	Comamonadaceae	acyP		3.6.1.7	ko:K01512	"ko00620,ko00627,ko01120,map00620,map00627,map01120"		"R00317,R01421,R01515"	RC00043	"ko00000,ko00001,ko01000"				Bacteria	"1N6NU@1224,2VVRU@28216,4AFGX@80864,COG1254@1,COG1254@2"	NA|NA|NA	C	Belongs to the acylphosphatase family
GW101-3H11_contig_1_20	358220.C380_00080	7.80E-18	96.3	Bacteria	napF	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006950,GO:0006979,GO:0008150,GO:0044424,GO:0044464,GO:0050896"		ko:K02572					ko00000				Bacteria	"COG1145@1,COG1145@2"	NA|NA|NA	C	"4fe-4S ferredoxin, iron-sulfur binding domain protein"
GW101-3H11_contig_1_22	358220.C380_06540	1.40E-51	210.7	Comamonadaceae													Bacteria	"1QXTD@1224,2WHJ6@28216,4AIDE@80864,COG4784@1,COG4784@2"	NA|NA|NA	S	Peptidase family M48
GW101-3H11_contig_1_23	1121035.AUCH01000019_gene2849	8.40E-86	323.6	Rhodocyclales	yggG	"GO:0003674,GO:0003824,GO:0005575,GO:0005623,GO:0006508,GO:0006807,GO:0006950,GO:0006970,GO:0006971,GO:0008150,GO:0008152,GO:0008233,GO:0008237,GO:0009266,GO:0009279,GO:0009314,GO:0009408,GO:0009411,GO:0009416,GO:0009628,GO:0009987,GO:0016020,GO:0016787,GO:0019538,GO:0019867,GO:0030312,GO:0030313,GO:0031975,GO:0033554,GO:0034605,GO:0034644,GO:0043170,GO:0044238,GO:0044462,GO:0044464,GO:0050896,GO:0051716,GO:0070011,GO:0071214,GO:0071470,GO:0071476,GO:0071478,GO:0071482,GO:0071704,GO:0071944,GO:0104004,GO:0140096,GO:1901564"		ko:K07387					"ko00000,ko01000,ko01002"				Bacteria	"1NK9F@1224,2KYU1@206389,2W9RG@28216,COG0501@1,COG0501@2"	NA|NA|NA	O	Peptidase family M48
GW101-3H11_contig_1_25	358220.C380_00085	1.00E-233	815.8	Comamonadaceae	hom	"GO:0005575,GO:0005618,GO:0005623,GO:0005886,GO:0008150,GO:0016020,GO:0030312,GO:0040007,GO:0044464,GO:0071944"	1.1.1.3	ko:K00003	"ko00260,ko00270,ko00300,ko01100,ko01110,ko01120,ko01130,ko01230,map00260,map00270,map00300,map01100,map01110,map01120,map01130,map01230"	"M00017,M00018"	"R01773,R01775"	RC00087	"ko00000,ko00001,ko00002,ko01000"			"iNJ661.Rv1294,iSB619.SA_RS06610"	Bacteria	"1MUDC@1224,2W0CG@28216,4AGS2@80864,COG0460@1,COG0460@2"	NA|NA|NA	E	homoserine dehydrogenase
GW101-3H11_contig_1_26	358220.C380_00090	2.40E-102	378.3	Comamonadaceae	paiB			ko:K07734					"ko00000,ko03000"				Bacteria	"1N1B9@1224,2VRAJ@28216,4ADGC@80864,COG2808@1,COG2808@2"	NA|NA|NA	K	PFAM Negative transcriptional regulator
GW101-3H11_contig_1_27	358220.C380_00095	1.80E-81	308.5	Comamonadaceae	ymaD												Bacteria	"1RI5C@1224,2WFNG@28216,4AE66@80864,COG1764@1,COG1764@2"	NA|NA|NA	O	PFAM OsmC family protein
GW101-3H11_contig_1_28	358220.C380_00100	2.10E-218	765	Comamonadaceae				ko:K00375					"ko00000,ko03000"				Bacteria	"1MVGT@1224,2VHEY@28216,4A9Y8@80864,COG1167@1,COG1167@2"	NA|NA|NA	K	aminotransferase class I and II
GW101-3H11_contig_1_29	358220.C380_00105	3.50E-168	597.8	Comamonadaceae	romA												Bacteria	"1MV20@1224,2VKI0@28216,4AA08@80864,COG2220@1,COG2220@2"	NA|NA|NA	S	Zn-dependent hydrolases of the beta-lactamase fold
GW101-3H11_contig_1_30	358220.C380_00110	3.70E-80	304.7	Betaproteobacteria	aefR			ko:K19736					"ko00000,ko03000"				Bacteria	"1RBT6@1224,2VQET@28216,COG1309@1,COG1309@2"	NA|NA|NA	K	"AefR-like transcriptional repressor, C-terminal region"
GW101-3H11_contig_1_31	358220.C380_00115	5.10E-75	287.3	Comamonadaceae	yrdA												Bacteria	"1RD76@1224,2VR65@28216,4AB7W@80864,COG0663@1,COG0663@2"	NA|NA|NA	S	transferase hexapeptide
GW101-3H11_contig_1_32	358220.C380_00125	0	1219.1	Comamonadaceae													Bacteria	"1PK5W@1224,2VJIN@28216,4AH2E@80864,COG1032@1,COG1032@2"	NA|NA|NA	C	Radical SAM
GW101-3H11_contig_1_33	489825.LYNGBM3L_68850	4.60E-80	305.1	Oscillatoriales													Bacteria	"1G0VN@1117,1H992@1150,COG5433@1,COG5433@2"	NA|NA|NA	L	Transposase DDE domain
GW101-3H11_contig_1_35	232721.Ajs_2804	7.40E-191	672.9	Comamonadaceae													Bacteria	"1MXYX@1224,2VHJU@28216,4AB94@80864,COG3677@1,COG3677@2"	NA|NA|NA	L	Transposase zinc-ribbon domain
GW101-3H11_contig_1_36	1276756.AUEX01000028_gene2126	0	1316.2	Comamonadaceae	dinG		3.6.4.12	ko:K03722					"ko00000,ko01000,ko03400"				Bacteria	"1MVCU@1224,2VH0V@28216,4AB1Y@80864,COG1199@1,COG1199@2"	NA|NA|NA	KL	SMART helicase c2
GW101-3H11_contig_1_37	358220.C380_00155	6.30E-55	219.9	Comamonadaceae	phnA	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0044424,GO:0044444,GO:0044464"		ko:K06193	"ko01120,map01120"				ko00000				Bacteria	"1RGUU@1224,2VSKS@28216,4AEBY@80864,COG2824@1,COG2824@2"	NA|NA|NA	P	Alkylphosphonate utilization operon protein
GW101-3H11_contig_1_38	324602.Caur_2099	5.20E-15	87	Chloroflexi				ko:K07075					ko00000				Bacteria	"2G76P@200795,COG1669@1,COG1669@2"	NA|NA|NA	L	"PFAM DNA polymerase, beta domain protein region"
GW101-3H11_contig_1_41	358220.C380_00160	1.00E-79	302.8	Comamonadaceae			1.4.3.5	ko:K00275	"ko00750,ko01100,ko01120,map00750,map01100,map01120"	M00124	"R00277,R00278,R01710,R01711"	"RC00048,RC00116"	"ko00000,ko00001,ko00002,ko01000"				Bacteria	"1RF7K@1224,2VSCF@28216,4AEFQ@80864,COG3871@1,COG3871@2"	NA|NA|NA	S	"PFAM pyridoxamine 5'-phosphate oxidase-related, FMN-binding"
GW101-3H11_contig_1_42	232721.Ajs_0590	6.10E-169	600.1	Comamonadaceae				ko:K07481					ko00000				Bacteria	"1MVDK@1224,2VI1H@28216,4ABHU@80864,COG3039@1,COG3039@2"	NA|NA|NA	L	"PFAM transposase, IS4 family protein"
GW101-3H11_contig_1_43	1123255.JHYS01000002_gene2541	4.90E-51	207.2	Comamonadaceae				ko:K07746					"ko00000,ko02048"				Bacteria	"1RHNZ@1224,2VSYD@28216,4AEMF@80864,COG3609@1,COG3609@2"	NA|NA|NA	K	transcriptional regulators containing the CopG Arc MetJ DNA-binding domain
GW101-3H11_contig_1_44	1123255.JHYS01000002_gene2540	1.90E-111	409.5	Comamonadaceae				ko:K03932					ko00000		CE1		Bacteria	"1MXUI@1224,2VKEH@28216,4ACC3@80864,COG3509@1,COG3509@2"	NA|NA|NA	Q	Esterase PHB depolymerase
GW101-3H11_contig_1_46	1123269.NX02_27255	2.10E-79	302.8	Sphingomonadales	yfbL												Bacteria	"1MXZS@1224,2K8V0@204457,2V1PT@28211,COG2234@1,COG2234@2"	NA|NA|NA	S	Peptidase family M28
GW101-3H11_contig_1_47	358220.C380_00180	4.00E-102	377.5	Comamonadaceae	polC1		2.7.7.7	ko:K02342	"ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440"	M00260	"R00375,R00376,R00377,R00378"	RC02795	"ko00000,ko00001,ko00002,ko01000,ko03032,ko03400"				Bacteria	"1R8JT@1224,2WGGB@28216,4ABY1@80864,COG0847@1,COG0847@2"	NA|NA|NA	L	"PFAM Exonuclease, RNase T and DNA polymerase III"
GW101-3H11_contig_1_48	358220.C380_00185	9.30E-93	346.3	Comamonadaceae	nnrU												Bacteria	"1RDHB@1224,2VQBI@28216,4AEP7@80864,COG4094@1,COG4094@2"	NA|NA|NA	S	NnrU protein
GW101-3H11_contig_1_49	358220.C380_00190	5.00E-34	150.2	Comamonadaceae	VL23_11275												Bacteria	"1MZVQ@1224,2CC0C@1,2VUAQ@28216,32RUG@2,4AEUG@80864"	NA|NA|NA	S	Protein of unknown function (DUF3297)
GW101-3H11_contig_1_50	358220.C380_00195	7.80E-62	243	Comamonadaceae	ypeP		3.1.26.4	ko:K03469	"ko03030,map03030"				"ko00000,ko00001,ko01000,ko03032"				Bacteria	"1MZD1@1224,2W2VC@28216,4AJI8@80864,COG0328@1,COG0328@2"	NA|NA|NA	L	Reverse transcriptase-like
GW101-3H11_contig_1_51	358220.C380_00200	3.30E-97	360.9	Comamonadaceae													Bacteria	"1RFBP@1224,2VQN8@28216,4AE1T@80864,COG3791@1,COG3791@2"	NA|NA|NA	S	Glutathione-dependent formaldehyde-activating enzyme
GW101-3H11_contig_1_52	358220.C380_00205	7.10E-226	789.6	Comamonadaceae				ko:K03088					"ko00000,ko03021"				Bacteria	"1MU3D@1224,2VKYD@28216,4AAJ6@80864,COG4941@1,COG4941@2"	NA|NA|NA	K	RNA polymerase sigma factor
GW101-3H11_contig_1_53	358220.C380_00210	1.10E-68	265.8	Comamonadaceae				ko:K07032					ko00000				Bacteria	"1RH1T@1224,2VSCM@28216,4AEM3@80864,COG3607@1,COG3607@2"	NA|NA|NA	S	Glyoxalase bleomycin resistance protein dioxygenase
GW101-3H11_contig_1_54	358220.C380_00215	1.10E-82	312.8	Comamonadaceae													Bacteria	"1RDMX@1224,2VRWE@28216,4AEHP@80864,COG3832@1,COG3832@2"	NA|NA|NA	S	Polyketide cyclase / dehydrase and lipid transport
GW101-3H11_contig_1_55	342113.DM82_6119	7.70E-49	199.9	Burkholderiaceae													Bacteria	"1K72M@119060,1RCZT@1224,2VSH3@28216,COG3795@1,COG3795@2"	NA|NA|NA	S	PFAM DGPFAETKE family protein
GW101-3H11_contig_1_56	232721.Ajs_1754	4.50E-189	667.2	Comamonadaceae				ko:K07494					ko00000				Bacteria	"1MW7X@1224,2VMDX@28216,4ADVR@80864,COG3335@1,COG3335@2,COG3415@1,COG3415@2"	NA|NA|NA	L	Winged helix-turn helix
GW101-3H11_contig_1_57	859657.RPSI07_mp0747	8.30E-152	544.3	Burkholderiaceae				ko:K02014					"ko00000,ko02000"	1.B.14			Bacteria	"1K5CU@119060,1QTTF@1224,2VMKQ@28216,COG4206@1,COG4206@2"	NA|NA|NA	H	TonB-dependent receptor
GW101-3H11_contig_1_58	402626.Rpic_4467	7.40E-17	94	Burkholderiaceae													Bacteria	"1KHFH@119060,1N6WD@1224,2E3CB@1,2VVST@28216,32YBM@2"	NA|NA|NA	S	Domain of unknown function (DUF4154)
GW101-3H11_contig_1_59	29581.BW37_02292	1.30E-119	437.2	Betaproteobacteria													Bacteria	"1MU2C@1224,2VNZI@28216,COG5001@1,COG5001@2"	NA|NA|NA	T	Diguanylate cyclase
GW101-3H11_contig_1_60	358220.C380_00225	2.70E-53	214.5	Comamonadaceae													Bacteria	"1N2T1@1224,2VUKT@28216,4AEV0@80864,COG3795@1,COG3795@2"	NA|NA|NA	S	YCII-related domain
GW101-3H11_contig_1_61	358220.C380_00230	1.80E-306	1057.7	Comamonadaceae	leuA		2.3.3.13	ko:K01649	"ko00290,ko00620,ko01100,ko01110,ko01210,ko01230,map00290,map00620,map01100,map01110,map01210,map01230"	M00432	R01213	"RC00004,RC00470,RC02754"	"br01601,ko00000,ko00001,ko00002,ko01000"				Bacteria	"1MUNQ@1224,2VJG4@28216,4ABPV@80864,COG0119@1,COG0119@2"	NA|NA|NA	E	Catalyzes the condensation of the acetyl group of acetyl-CoA with 3-methyl-2-oxobutanoate (2-oxoisovalerate) to form 3-carboxy-3-hydroxy-4-methylpentanoate (2-isopropylmalate)
GW101-3H11_contig_1_62	358220.C380_00235	1.10E-78	299.3	Comamonadaceae	yafL	"GO:0000270,GO:0003674,GO:0003824,GO:0004175,GO:0006022,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0009254,GO:0016787,GO:0019538,GO:0030203,GO:0043170,GO:0044238,GO:0070011,GO:0071704,GO:0140096,GO:1901135,GO:1901564"		ko:K19303					"ko00000,ko01000,ko01002,ko01011"				Bacteria	"1N0EE@1224,2VRUY@28216,4AE9U@80864,COG0791@1,COG0791@2"	NA|NA|NA	M	PFAM NLP P60 protein
GW101-3H11_contig_1_63	358220.C380_00275	1.60E-189	668.7	Comamonadaceae	aroG2		2.5.1.54	ko:K01626	"ko00400,ko01100,ko01110,ko01130,ko01230,ko02024,map00400,map01100,map01110,map01130,map01230,map02024"	M00022	R01826	RC00435	"ko00000,ko00001,ko00002,ko01000"				Bacteria	"1MU5Q@1224,2VH4W@28216,4ABQF@80864,COG0722@1,COG0722@2"	NA|NA|NA	E	Stereospecific condensation of phosphoenolpyruvate (PEP) and D-erythrose-4-phosphate (E4P) giving rise to 3-deoxy-D- arabino-heptulosonate-7-phosphate (DAHP)
GW101-3H11_contig_1_64	358220.C380_00290	0	2875.1	Comamonadaceae													Bacteria	"1MU2C@1224,2VH3V@28216,4A9PA@80864,COG5001@1,COG5001@2"	NA|NA|NA	T	Diguanylate cyclase
GW101-3H11_contig_1_65	358220.C380_00295	1.80E-34	152.5	Comamonadaceae													Bacteria	"1N0HX@1224,2DG9F@1,2VTXA@28216,32U6V@2,4AF33@80864"	NA|NA|NA	S	LTXXQ motif family protein
GW101-3H11_contig_1_66	358220.C380_00300	3.50E-162	577.8	Comamonadaceae	rdgC			ko:K03554					"ko00000,ko03400"				Bacteria	"1MXPR@1224,2VHD8@28216,4AA6Q@80864,COG2974@1,COG2974@2"	NA|NA|NA	L	May be involved in recombination
GW101-3H11_contig_1_67	358220.C380_16560	9.80E-175	619.4	Comamonadaceae													Bacteria	"1MVQ9@1224,2VKT3@28216,4AB9U@80864,COG2801@1,COG2801@2"	NA|NA|NA	L	PFAM Integrase catalytic region
GW101-3H11_contig_1_68	1268622.AVS7_01006	2.60E-128	465.3	Comamonadaceae			3.2.1.23	ko:K12308	"ko00052,map00052"		R01105	RC00452	"ko00000,ko00001,ko01000"				Bacteria	"1PXPJ@1224,2W1KW@28216,4AH77@80864,COG1874@1,COG1874@2"	NA|NA|NA	G	Beta-galactosidase
GW101-3H11_contig_1_69	358220.C380_00305	3.70E-110	404.4	Betaproteobacteria				ko:K07232					ko00000				Bacteria	"1QA7D@1224,2VQKU@28216,COG3703@1,COG3703@2"	NA|NA|NA	P	"Catalyzes the cleavage of glutathione into 5-oxo-L- proline and a Cys-Gly dipeptide. Acts specifically on glutathione, but not on other gamma-glutamyl peptides"
GW101-3H11_contig_1_70	358220.C380_00310	9.20E-109	399.8	Comamonadaceae	yhhW_2			ko:K06911					ko00000				Bacteria	"1MVSW@1224,2VHPA@28216,4AC8J@80864,COG1741@1,COG1741@2"	NA|NA|NA	S	Belongs to the pirin family
GW101-3H11_contig_1_71	358220.C380_00320	5.40E-123	447.2	Comamonadaceae			5.3.3.18	ko:K15866	"ko00360,ko01120,map00360,map01120"		"R09837,R09839"	"RC00004,RC00326,RC02689,RC03003"	"ko00000,ko00001,ko01000"				Bacteria	"1NQM5@1224,2VMEQ@28216,4AC3J@80864,COG1024@1,COG1024@2"	NA|NA|NA	I	Belongs to the enoyl-CoA hydratase isomerase family
GW101-3H11_contig_1_72	358220.C380_00325	0	1166	Comamonadaceae			6.2.1.3	ko:K01897	"ko00061,ko00071,ko01100,ko01212,ko02024,ko03320,ko04146,ko04216,ko04714,ko04920,map00061,map00071,map01100,map01212,map02024,map03320,map04146,map04216,map04714,map04920"	M00086	R01280	"RC00004,RC00014"	"ko00000,ko00001,ko00002,ko01000,ko01004,ko04147"	4.C.1.1			Bacteria	"1MU4D@1224,2VI0U@28216,4A9UR@80864,COG1022@1,COG1022@2"	NA|NA|NA	I	AMP-dependent synthetase and ligase
GW101-3H11_contig_1_73	358220.C380_00330	1.30E-145	522.3	Comamonadaceae	livF_15			ko:K01996	"ko02010,ko02024,map02010,map02024"	M00237			"ko00000,ko00001,ko00002,ko02000"	3.A.1.4			Bacteria	"1MVVC@1224,2VINW@28216,4ACAN@80864,COG0410@1,COG0410@2"	NA|NA|NA	E	ABC transporter
GW101-3H11_contig_1_74	358220.C380_00335	1.50E-217	761.9	Comamonadaceae	livK			ko:K01999	"ko02010,ko02024,map02010,map02024"	M00237			"ko00000,ko00001,ko00002,ko02000"	3.A.1.4			Bacteria	"1MV5T@1224,2VKI9@28216,4AC70@80864,COG0683@1,COG0683@2"	NA|NA|NA	E	PFAM Extracellular ligand-binding receptor
GW101-3H11_contig_1_75	358220.C380_00340	8.30E-185	652.9	Comamonadaceae	livM			ko:K01998	"ko02010,ko02024,map02010,map02024"	M00237			"ko00000,ko00001,ko00002,ko02000"	3.A.1.4			Bacteria	"1MV66@1224,2VP62@28216,4ACU9@80864,COG4177@1,COG4177@2"	NA|NA|NA	E	Belongs to the binding-protein-dependent transport system permease family
GW101-3H11_contig_1_76	358220.C380_00345	4.70E-128	464.2	Comamonadaceae	braD			ko:K01997	"ko02010,ko02024,map02010,map02024"	M00237			"ko00000,ko00001,ko00002,ko02000"	3.A.1.4			Bacteria	"1N54M@1224,2VKEA@28216,4ACQ8@80864,COG0559@1,COG0559@2"	NA|NA|NA	E	Belongs to the binding-protein-dependent transport system permease family
GW101-3H11_contig_1_77	358220.C380_00350	3.60E-146	524.2	Comamonadaceae				ko:K01995	"ko02010,ko02024,map02010,map02024"	M00237			"ko00000,ko00001,ko00002,ko02000"	3.A.1.4			Bacteria	"1MUTY@1224,2VKPR@28216,4AA4P@80864,COG0411@1,COG0411@2"	NA|NA|NA	E	PFAM ABC transporter related
GW101-3H11_contig_1_78	358220.C380_00355	2.00E-104	385.6	Comamonadaceae													Bacteria	"1MY9K@1224,2VN1D@28216,4ABAT@80864,COG1309@1,COG1309@2"	NA|NA|NA	K	PFAM regulatory protein TetR
GW101-3H11_contig_1_79	671143.DAMO_2322	1.80E-157	562.8	unclassified Bacteria			3.6.4.12	ko:K03655	"ko03440,map03440"				"ko00000,ko00001,ko01000,ko03400"				Bacteria	"2NRI7@2323,COG2865@1,COG2865@2"	NA|NA|NA	K	Putative ATP-dependent DNA helicase recG C-terminal
